fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.06,0.9349593495934959,0.7037037037037037,0.6972972972972973,0.873015873015873,0.7037037037037037,21,9,33,21,1,41
1,14,0.06,0.8690058479532164,0.6923076923076922,0.6416499717470591,0.8095238095238095,0.6923076923076922,4,13,46,5,1,57
2,14,0.06,0.48059964726631393,0.5419501133786847,0.5093353248693054,0.8095238095238095,0.5419501133786847,6,8,49,7,2,54
3,14,0.06,0.5455927051671733,0.5619047619047618,0.5524990313831848,0.8095238095238095,0.5619047619047618,15,6,42,14,2,47
4,14,0.06,0.5661764705882353,0.5444444444444444,0.5509259259259259,0.7777777777777778,0.5444444444444444,30,3,30,24,5,34
5,14,0.06,0.636002886002886,0.6414141414141414,0.6294331940426444,0.746031746031746,0.6414141414141414,33,6,24,28,11,24
6,14,0.06,0.7996031746031745,0.7133734719941617,0.7302533532041728,0.8571428571428571,0.7133734719941617,27,7,29,28,3,32
7,14,0.06,0.6544566544566545,0.6537928302634185,0.5640628397477713,0.6984126984126984,0.6537928302634185,11,18,34,21,3,39
8,14,0.06,0.6732711732711731,0.7314814814814815,0.6703852319834563,0.6825396825396826,0.7314814814814815,12,24,27,22,15,26
9,14,0.06,0.6776515151515152,0.7410256410256411,0.6765639589169,0.6825396825396826,0.7410256410256411,12,26,25,22,16,25
10,14,0.06,0.7217782217782217,0.7234753550543024,0.7207010767425682,0.7142857142857143,0.7234753550543024,14,30,19,13,28,22
11,14,0.06,0.547783251231527,0.625,0.5525046382189239,0.5714285714285714,0.625,8,35,20,14,20,29
12,14,0.06,0.5312447786131996,0.5577380952380953,0.5301587301587302,0.6031746031746031,0.5577380952380953,16,40,7,19,30,14
13,14,0.06,0.7983870967741935,0.7642045454545454,0.7570519435844513,0.7619047619047619,0.7642045454545454,20,32,11,31,24,8
14,14,0.06,0.7945533769063181,0.7575533661740558,0.7452440033085196,0.7777777777777778,0.7575533661740558,29,20,14,36,10,17
15,14,0.06,0.7450076804915514,0.6688172043010753,0.6577060931899642,0.746031746031746,0.6688172043010753,31,12,20,31,4,28
16,14,0.06,0.7210239651416122,0.6949609951507485,0.6835164835164834,0.7142857142857143,0.6949609951507485,31,17,15,34,9,20
17,14,0.06,0.644967320261438,0.681952006452914,0.6543209876543209,0.6507936507936508,0.681952006452914,29,19,15,25,17,21
18,14,0.06,0.5888888888888889,0.6379310344827586,0.5965986394557823,0.6031746031746031,0.6379310344827586,16,29,18,16,20,27
19,14,0.06,0.7011060834590247,0.6185185185185186,0.6131636562671045,0.7142857142857143,0.6185185185185186,9,30,24,3,26,34
20,14,0.06,0.7847619047619049,0.84375,0.7692328964105967,0.7619047619047619,0.84375,15,32,16,21,17,25
21,14,0.06,0.679260935143288,0.7963124274099883,0.6850425292890386,0.6984126984126984,0.7963124274099883,14,41,8,17,26,20
22,14,0.06,0.7576214635038164,0.8968253968253969,0.797347670250896,0.8253968253968254,0.8968253968253969,14,42,7,17,33,13
23,14,0.06,0.9001763668430335,0.747037037037037,0.7953533164800771,0.8571428571428571,0.747037037037037,2,36,25,1,35,27
24,14,0.06,0.8739316239316239,0.8136645962732919,0.8386060479083736,0.9047619047619048,0.8136645962732919,5,35,23,4,39,20
