fold,train_start,train_end,test_start,test_end,train_start_ix,train_end_ix,test_start_ix,test_end_ix
38,2018-02-11 00:00:00+00:00,2024-05-27 00:00:00+00:00,2024-05-28 00:00:00+00:00,2024-07-29 00:00:00+00:00,0,2297,2298,2360
39,2018-02-11 00:00:00+00:00,2024-06-17 00:00:00+00:00,2024-06-18 00:00:00+00:00,2024-08-19 00:00:00+00:00,0,2318,2319,2381
40,2018-02-11 00:00:00+00:00,2024-07-08 00:00:00+00:00,2024-07-09 00:00:00+00:00,2024-09-09 00:00:00+00:00,0,2339,2340,2402
41,2018-02-11 00:00:00+00:00,2024-07-29 00:00:00+00:00,2024-07-30 00:00:00+00:00,2024-09-30 00:00:00+00:00,0,2360,2361,2423
42,2018-02-11 00:00:00+00:00,2024-08-19 00:00:00+00:00,2024-08-20 00:00:00+00:00,2024-10-21 00:00:00+00:00,0,2381,2382,2444
43,2018-02-11 00:00:00+00:00,2024-09-09 00:00:00+00:00,2024-09-10 00:00:00+00:00,2024-11-11 00:00:00+00:00,0,2402,2403,2465
44,2018-02-11 00:00:00+00:00,2024-09-30 00:00:00+00:00,2024-10-01 00:00:00+00:00,2024-12-02 00:00:00+00:00,0,2423,2424,2486
45,2018-02-11 00:00:00+00:00,2024-10-21 00:00:00+00:00,2024-10-22 00:00:00+00:00,2024-12-23 00:00:00+00:00,0,2444,2445,2507
46,2018-02-11 00:00:00+00:00,2024-11-11 00:00:00+00:00,2024-11-12 00:00:00+00:00,2025-01-13 00:00:00+00:00,0,2465,2466,2528
47,2018-02-11 00:00:00+00:00,2024-12-02 00:00:00+00:00,2024-12-03 00:00:00+00:00,2025-02-03 00:00:00+00:00,0,2486,2487,2549
48,2018-02-11 00:00:00+00:00,2024-12-23 00:00:00+00:00,2024-12-24 00:00:00+00:00,2025-02-24 00:00:00+00:00,0,2507,2508,2570
49,2018-02-11 00:00:00+00:00,2025-01-13 00:00:00+00:00,2025-01-14 00:00:00+00:00,2025-03-17 00:00:00+00:00,0,2528,2529,2591
50,2018-02-11 00:00:00+00:00,2025-02-03 00:00:00+00:00,2025-02-04 00:00:00+00:00,2025-04-07 00:00:00+00:00,0,2549,2550,2612
51,2018-02-11 00:00:00+00:00,2025-02-24 00:00:00+00:00,2025-02-25 00:00:00+00:00,2025-04-28 00:00:00+00:00,0,2570,2571,2633
52,2018-02-11 00:00:00+00:00,2025-03-17 00:00:00+00:00,2025-03-18 00:00:00+00:00,2025-05-19 00:00:00+00:00,0,2591,2592,2654
53,2018-02-11 00:00:00+00:00,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,2025-06-09 00:00:00+00:00,0,2612,2613,2675
54,2018-02-11 00:00:00+00:00,2025-04-28 00:00:00+00:00,2025-04-29 00:00:00+00:00,2025-06-30 00:00:00+00:00,0,2633,2634,2696
55,2018-02-11 00:00:00+00:00,2025-05-19 00:00:00+00:00,2025-05-20 00:00:00+00:00,2025-07-21 00:00:00+00:00,0,2654,2655,2717
56,2018-02-11 00:00:00+00:00,2025-06-09 00:00:00+00:00,2025-06-10 00:00:00+00:00,2025-08-11 00:00:00+00:00,0,2675,2676,2738
57,2018-02-11 00:00:00+00:00,2025-06-30 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0,2696,2697,2759
58,2018-02-11 00:00:00+00:00,2025-07-21 00:00:00+00:00,2025-07-22 00:00:00+00:00,2025-09-22 00:00:00+00:00,0,2717,2718,2780
59,2018-02-11 00:00:00+00:00,2025-08-11 00:00:00+00:00,2025-08-12 00:00:00+00:00,2025-10-13 00:00:00+00:00,0,2738,2739,2801
60,2018-02-11 00:00:00+00:00,2025-09-01 00:00:00+00:00,2025-09-02 00:00:00+00:00,2025-11-03 00:00:00+00:00,0,2759,2760,2822
61,2018-02-11 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-09-23 00:00:00+00:00,2025-11-24 00:00:00+00:00,0,2780,2781,2843
