fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.12,0.6594982078853047,0.7927927927927928,0.6111111111111112,0.6349206349206349,0.7927927927927928,372,748,380,6,37,20,18,14,31
1,14,0.12,0.5691509084167593,0.5587606837606838,0.5532976827094473,0.8095238095238095,0.5587606837606838,378,763,380,0,39,24,3,29,31
2,14,0.12,0.6078431372549019,0.5714285714285715,0.578853046594982,0.8412698412698413,0.5714285714285715,378,775,389,0,35,28,4,25,34
3,14,0.12,0.617948717948718,0.9037037037037038,0.6517332796402564,0.7936507936507936,0.9037037037037038,378,785,400,1,45,17,5,32,26
4,14,0.12,0.7704517704517704,0.9024390243902438,0.8038197097020626,0.8095238095238095,0.9024390243902438,378,802,404,9,41,13,13,29,21
5,14,0.12,0.8696581196581197,0.9612403100775193,0.904325054083508,0.9206349206349206,0.9612403100775193,378,810,417,9,43,11,13,38,12
6,14,0.12,0.767094017094017,0.8333333333333334,0.7868838763575606,0.7777777777777778,0.8333333333333334,379,830,417,12,34,17,16,26,21
7,14,0.12,0.8443137254901961,0.8521703521703522,0.8467685545899512,0.7936507936507936,0.8521703521703522,387,843,417,4,37,22,4,34,25
8,14,0.12,0.7621212121212121,0.7859848484848485,0.7697881828316611,0.7777777777777778,0.7859848484848485,387,853,428,4,48,11,4,44,15
9,14,0.12,0.5952380952380952,0.6185185185185186,0.6047745358090185,0.9206349206349206,0.6185185185185186,391,864,434,0,45,18,0,42,21
10,14,0.12,0.6041666666666666,0.6466666666666666,0.6218746296954616,0.9523809523809523,0.6466666666666666,391,880,439,0,50,13,0,47,16
11,14,0.12,0.6041666666666666,0.6466666666666666,0.6218746296954616,0.9523809523809523,0.6466666666666666,391,901,439,0,50,13,0,47,16
12,14,0.12,0.6410256410256411,0.6470588235294118,0.6432323232323233,0.9523809523809523,0.6470588235294118,391,909,452,12,51,0,13,48,2
