entry_idx,exit_idx,entry_price,exit_price,direction,pnl,candidate,fold
41,55,100987.140625,109232.0703125,1,0.07984336208028962,T14_X8,33
59,62,115987.203125,119116.1171875,-1,-0.028776373067018034,T14_X8,33
4,18,104390.34375,103309.6015625,1,-0.012152894230219449,T14_X8,34
21,35,105577.7734375,108299.8515625,1,0.023982681679789522,T14_X8,34
39,53,117516.9921875,117635.8828125,-1,-0.0028116888016526866,T14_X8,34
18,32,117516.9921875,117635.8828125,-1,-0.0028116888016526866,T14_X8,35
1,15,117777.1875,117922.1484375,-1,-0.003030806581282984,T14_X8,36
31,45,118359.578125,112544.8046875,-1,0.04732803449974277,T14_X8,36
47,61,108808.0703125,115950.5078125,1,0.06384253441391534,T14_X8,36
10,24,118359.578125,112544.8046875,-1,0.04732803449974277,T14_X8,37
26,40,108808.0703125,115950.5078125,1,0.06384253441391534,T14_X8,37
41,55,115407.65625,112122.640625,-1,0.026664451421523433,T14_X8,37
60,62,122266.53125,123513.4765625,-1,-0.011998582553637302,T14_X8,37
1,15,111802.65625,111530.546875,1,-0.004233836405385046,T14_X8,38
18,32,116101.578125,109712.828125,-1,0.05322724513461474,T14_X8,38
34,48,112122.640625,115169.765625,1,0.025376714560186538,T14_X8,38
51,62,110783.1640625,114472.4453125,1,0.03150182235920465,T14_X8,38
11,25,109712.828125,113214.3671875,1,0.030115493587591812,T14_X8,39
27,41,115169.765625,114472.4453125,1,-0.007854716780187943,T14_X8,39
51,62,103891.8359375,94177.078125,1,-0.09530838518576448,T14_X8,39
