fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,7,0.08,0.7275132275132276,0.8045584045584045,0.7483305966064586,0.8253968253968254,0.8045584045584045,330,859,311,5,45,13,9,42,12
1,7,0.08,0.6589430894308943,0.8591269841269841,0.7225526914885805,0.7936507936507936,0.8591269841269841,335,871,315,1,48,14,2,41,20
2,7,0.08,0.6658730158730158,0.8695121951219512,0.7046790890269152,0.7619047619047619,0.8695121951219512,335,888,319,2,41,20,5,28,30
3,7,0.08,0.6387254901960785,0.6357843137254902,0.5966466131907309,0.6190476190476191,0.6357843137254902,335,904,324,6,40,17,5,24,34
4,7,0.08,0.5974798327739504,0.5757575757575757,0.5757936507936509,0.6190476190476191,0.5757575757575757,336,919,329,15,33,15,9,37,17
5,7,0.08,0.626984126984127,0.5527065527065528,0.5445326278659611,0.6349206349206349,0.5527065527065528,337,929,339,15,39,9,6,42,15
6,7,0.08,0.6170542635658914,0.5345029239766083,0.5237860082304526,0.6031746031746031,0.5345029239766083,341,944,341,15,38,10,5,43,15
7,7,0.08,0.7328042328042329,0.6313390313390314,0.6610740328760351,0.6984126984126984,0.6313390313390314,351,952,344,5,45,13,3,42,18
8,7,0.08,0.7054154995331466,0.7281481481481481,0.7040133779264215,0.7142857142857143,0.7281481481481481,352,968,348,4,50,9,4,42,17
9,7,0.08,0.5826839826839826,0.49333333333333335,0.5216374269005848,0.873015873015873,0.49333333333333335,356,982,351,1,50,12,1,55,7
10,7,0.08,0.4594202898550725,0.6011904761904762,0.484593837535014,0.8095238095238095,0.6011904761904762,356,997,357,1,56,6,2,46,15
11,7,0.08,0.4384920634920635,0.5168831168831168,0.456464786561874,0.8095238095238095,0.5168831168831168,356,1018,357,1,55,7,1,48,14
12,7,0.08,0.66,0.6198830409356725,0.6386292834890965,0.8571428571428571,0.6198830409356725,357,1032,363,5,57,1,5,50,8
13,7,0.08,0.5340136054421768,0.6012820512820513,0.5602310231023102,0.8888888888888888,0.6012820512820513,357,1053,363,10,52,1,14,49,0
