entry_idx,exit_idx,entry_price,exit_price,direction,pnl,candidate,fold
2,16,30027.296875,30514.166015625,-1,-0.018014218104672467,T14_X6,0
17,31,29909.337890625,29792.015625,-1,0.002122596550081917,T14_X6,0
60,62,26049.556640625,26189.583984375,1,0.003575421381706877,T14_X6,0
39,53,26049.556640625,25800.724609375,1,-0.011352255905267101,T14_X6,1
54,62,25868.798828125,25832.2265625,1,-0.0032137597136995015,T14_X6,1
18,32,26049.556640625,25800.724609375,1,-0.011352255905267101,T14_X6,2
33,47,25868.798828125,26568.28125,1,0.025239617359987768,T14_X6,2
48,62,26534.1875,27983.75,-1,-0.05642999385227078,T14_X6,2
1,15,26031.65625,25779.982421875,1,-0.01146799137588489,T14_X6,3
16,30,25753.236328125,27132.0078125,1,0.05173779489334509,T14_X6,3
31,45,26567.6328125,27415.912109375,-1,-0.033729050768719106,T14_X6,3
57,62,28415.748046875,29993.896484375,-1,-0.05733781075538343,T14_X6,3
1,15,25833.34375,26217.25,1,0.013060881104483425,T14_X6,4
21,35,27530.78515625,28519.466796875,-1,-0.03771185776263816,T14_X6,4
36,50,28415.748046875,34667.78125,-1,-0.2218200111857538,T14_X6,4
51,62,35437.25390625,37054.51953125,-1,-0.04743744214714014,T14_X6,4
15,29,28415.748046875,34667.78125,-1,-0.2218200111857538,T14_X6,5
30,44,35437.25390625,37880.58203125,-1,-0.07074800966982023,T14_X6,5
45,59,36154.76953125,37712.74609375,-1,-0.044891868173945325,T14_X6,5
1,15,33901.52734375,35443.5625,-1,-0.047285713390263696,T14_X6,6
24,38,36154.76953125,37712.74609375,-1,-0.044891868173945325,T14_X6,6
42,56,41980.09765625,42623.5390625,-1,-0.01712729655654349,T14_X6,6
57,62,42270.52734375,43016.1171875,1,0.015838527139412202,T14_X6,6
3,17,36154.76953125,37712.74609375,-1,-0.044891868173945325,T14_X6,7
20,34,39978.390625,41364.6640625,-1,-0.03647556887177722,T14_X6,7
35,49,42623.5390625,44167.33203125,1,0.03441925824803746,T14_X6,7
50,62,44957.96875,41796.26953125,-1,0.06852566876700808,T14_X6,7
1,15,44080.6484375,42270.52734375,-1,0.03926384905649676,T14_X6,8
16,30,43652.25,42848.17578125,1,-0.020219994816991105,T14_X6,8
32,46,44162.69140625,41618.40625,-1,0.05581164175537379,T14_X6,8
47,61,41665.5859375,42992.25,1,0.030040763369799908,T14_X6,8
62,62,42583.58203125,42583.58203125,-1,-0.0018,T14_X6,8
5,19,42156.90234375,42842.3828125,1,0.014460219101502043,T14_X6,9
21,35,42511.96875,43288.24609375,1,0.01646020686821285,T14_X6,9
36,50,42952.609375,49742.44140625,-1,-0.15987728866879813,T14_X6,9
51,62,51826.6953125,51733.23828125,-1,3.2604758316366177e-06,T14_X6,9
1,15,43154.9453125,42952.609375,1,-0.006488592142448912,T14_X6,10
16,30,42582.60546875,51826.6953125,-1,-0.21888605525638724,T14_X6,10
31,45,51938.5546875,61198.3828125,-1,-0.1800842857432949,T14_X6,10
46,60,62440.6328125,69403.7734375,-1,-0.11331617642808463,T14_X6,10
61,62,65315.1171875,68390.625,-1,-0.04888722796395121,T14_X6,10
1,15,43084.671875,52284.875,-1,-0.2153377322053703,T14_X6,11
16,30,51839.1796875,66106.8046875,-1,-0.2770286028831656,T14_X6,11
31,45,66925.484375,65491.390625,-1,0.019628216222753337,T14_X6,11
46,60,63778.76171875,67837.640625,1,0.06183997664534071,T14_X6,11
61,62,68896.109375,69362.5546875,1,0.0049702707269165015,T14_X6,11
1,15,57085.37109375,71481.2890625,-1,-0.2539822612856088,T14_X6,12
16,30,73083.5,69455.34375,-1,0.04784398598862944,T14_X6,12
31,45,70744.953125,70060.609375,1,-0.011473393221292066,T14_X6,12
