fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20,fold_21,fold_22,fold_23,fold_24,fold_25,fold_26,fold_27,fold_28,fold_29,fold_30,fold_31,fold_32,fold_33,fold_34,fold_35,fold_36,fold_37,fold_38,fold_39
1.0,1.0,1.0,0.9991,0.9991,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,1.0,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
0.9991,1.0,1.0,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991,0.9991
0.9991,1.0,1.0,0.9876423298163535,1.0130608811044834,0.9991,0.9527142866097363,0.9991,1.038328511592346,0.9991,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.0377108631907137,0.9991,0.9911586548948859,0.9991,0.9991,1.1472303398791004,0.979079435467069,0.9991,1.031947022714604,0.9126629345595602,0.9991,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.980585883830105,0.9613695408468632,0.9518830487719271,0.9991,0.9991,0.996969193418717,0.9991,0.995766163594615,0.9991
0.9811019946916216,1.0,1.0,0.9876423298163535,1.0130608811044834,0.9991,0.9527142866097363,0.9991,1.038328511592346,0.9991,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,0.9991,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.9991,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9518830487719271,0.9996450576001511,0.9991,0.996969193418717,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0130608811044834,0.9991,0.9527142866097363,0.9551081318260547,1.038328511592346,0.9991,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9518830487719271,0.9996450576001511,0.9991,0.996969193418717,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0130608811044834,0.9991,0.9527142866097363,0.9551081318260547,1.038328511592346,0.9991,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.9991,0.9960719211446402,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0130608811044834,0.9991,0.9527142866097363,0.9542485345074112,1.038328511592346,1.014460219101502,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.9991,0.9960719211446402,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9527142866097363,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9527142866097363,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9991,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9527142866097363,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,0.9991,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.0473280344997429,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.046385439268693,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.046385439268693,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.046385439268693,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.9991,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.046385439268693,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,0.9876423298163535,1.0121491263114895,0.7774796268243134,0.9518568437517876,0.9542485345074112,1.038328511592346,1.0135472049043106,0.9926172475904793,0.7839560717536145,0.7453463227495482,1.0543337677040214,1.036776923413842,1.1347388213206977,0.9911586548948859,0.8885223986960129,1.1199823559882827,1.1472303398791004,0.979079435467069,1.0606918690405784,1.0310182703941608,0.9126629345595602,0.6998301867748956,0.9463599234266422,1.1169538359470519,0.9022231606026677,1.0523680757119636,0.9311654069016563,1.0528799541094398,0.9797033565346579,0.9613695408468632,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.046385439268693,0.9948699740473799,0.9785973407383515
0.9811019946916216,1.0,0.9991,1.0387407661043775,1.0121491263114895,0.7774796268243134,0.9518568437517876,0.9542485345074112,1.0182499394150881,1.0135472049043106,0.7753471738859466,0.5667778164739359,0.7810066617718541,0.9772669362814753,1.036776923413842,1.1347388213206977,1.0757134390806982,0.8885223986960129,1.1199823559882827,1.2733352025429527,0.9493774046727202,1.0606918690405784,1.0310182703941608,0.6808390645351802,0.6998301867748956,0.9271288477725907,1.1879928645969369,0.9618564690105578,0.9049181750692271,0.9311654069016563,1.103409295506007,0.9797033565346579,0.834348385491857,0.9510263540280324,0.9987453770483109,0.8983872594268927,0.9960719211446402,1.046385439268693,0.9948699740473799,0.9785973407383515
