fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.06,0.6345238095238096,0.6017279821627648,0.5607843137254901,0.7777777777777778,0.6017279821627648,4,13,46,5,2,56
1,14,0.06,0.4567901234567901,0.548611111111111,0.4976657329598506,0.8095238095238095,0.548611111111111,6,9,48,8,1,54
2,14,0.06,0.5059101654846335,0.5481727574750831,0.5261813537675607,0.7936507936507936,0.5481727574750831,14,6,43,15,1,47
3,14,0.06,0.9150121908742599,0.7573476702508962,0.8074074074074074,0.873015873015873,0.7573476702508962,31,2,30,29,1,33
4,14,0.06,0.7059259259259258,0.6300505050505051,0.6395790200138026,0.7936507936507936,0.6300505050505051,33,6,24,36,2,25
5,14,0.06,0.8948101706722396,0.6666666666666666,0.6715799060492763,0.8412698412698413,0.6666666666666666,28,7,28,33,1,29
6,14,0.06,0.7605105105105107,0.6613503455608719,0.5587301587301586,0.6984126984126984,0.6613503455608719,11,19,33,24,2,37
7,14,0.06,0.6841049382716049,0.748015873015873,0.6865591397849462,0.6984126984126984,0.748015873015873,11,24,28,20,16,27
8,14,0.06,0.6924369747899158,0.7538461538461538,0.6951374207188161,0.6984126984126984,0.7538461538461538,12,26,25,21,17,25
9,14,0.06,0.7098734598734598,0.7064860426929392,0.7072310405643739,0.6984126984126984,0.7064860426929392,14,29,20,13,28,22
10,14,0.06,0.590007215007215,0.6351851851851852,0.5981800766283526,0.6190476190476191,0.6351851851851852,9,34,20,11,24,28
11,14,0.06,0.5596059113300492,0.625,0.5720057720057721,0.6190476190476191,0.625,15,40,8,20,29,14
12,14,0.06,0.7454406130268199,0.7555555555555555,0.7355087225452794,0.7619047619047619,0.7555555555555555,20,33,10,29,25,9
13,14,0.06,0.7413989519252677,0.706959706959707,0.6982794361525704,0.746031746031746,0.706959706959707,29,21,13,38,11,14
14,14,0.06,0.5060007742934572,0.6,0.5471996386630533,0.746031746031746,0.6,31,12,20,41,1,21
15,14,0.06,0.7494074552898082,0.6975806451612904,0.6932680845724324,0.7619047619047619,0.6975806451612904,31,16,16,39,7,17
16,14,0.06,0.6567251461988305,0.6867916918733616,0.6645115159571789,0.6825396825396826,0.6867916918733616,29,19,15,30,14,19
17,14,0.06,0.6021630874572051,0.6418456271397448,0.6018755328218244,0.6031746031746031,0.6418456271397448,17,28,18,17,18,28
18,14,0.06,0.6288888888888889,0.5685483870967741,0.5476190476190477,0.6825396825396826,0.5685483870967741,8,31,24,2,25,36
19,14,0.06,0.7530864197530863,0.7968796120598777,0.7429396000824573,0.7301587301587301,0.7968796120598777,15,31,17,18,18,27
20,14,0.06,0.737037037037037,0.8607723577235772,0.7668656868748723,0.7936507936507936,0.8607723577235772,14,41,8,18,30,15
21,14,0.06,0.7517857142857144,0.8841269841269841,0.7875064004096263,0.8253968253968254,0.8841269841269841,15,42,6,16,35,12
22,14,0.06,0.6977466977466977,0.6910660660660661,0.6937452326468344,0.7936507936507936,0.6910660660660661,2,37,24,2,39,22
23,14,0.06,0.7973137973137973,0.8178053830227743,0.7938438438438439,0.8412698412698413,0.8178053830227743,5,35,23,7,39,17
24,14,0.06,0.7944862155388471,0.8196969696969697,0.7851851851851852,0.7936507936507936,0.8196969696969697,11,32,20,19,28,16
25,14,0.06,0.865849126718692,0.6967032967032968,0.7315060418508694,0.7619047619047619,0.6967032967032968,26,35,2,39,23,1
26,14,0.06,0.5388888888888889,0.55119825708061,0.5420197740112994,0.7936507936507936,0.55119825708061,27,34,2,32,30,1
27,14,0.06,0.7059259259259258,0.6358237547892721,0.6531986531986532,0.7936507936507936,0.6358237547892721,30,29,4,36,25,2
28,14,0.06,0.7074102368220014,0.7066276803118908,0.7046070460704607,0.7619047619047619,0.7066276803118908,19,36,8,22,34,7
29,14,0.06,0.8498245614035088,0.8410188844971453,0.8413611179568626,0.8412698412698413,0.8410188844971453,23,22,18,19,25,19
30,14,0.06,0.8240740740740741,0.7814814814814813,0.7732884399551067,0.8095238095238095,0.7814814814814813,30,18,15,36,9,18
31,14,0.06,0.7732323232323232,0.719850948509485,0.740290955091714,0.873015873015873,0.719850948509485,41,6,16,44,4,15
32,14,0.06,0.6345528455284553,0.5873015873015873,0.5708848465758458,0.746031746031746,0.5873015873015873,42,7,14,41,2,20
33,14,0.06,0.6448334274421231,0.625,0.6221863621317444,0.6984126984126984,0.625,30,9,24,23,7,33
34,14,0.06,0.6611560953666217,0.6023015873015872,0.5952380952380952,0.6349206349206349,0.6023015873015872,24,14,25,12,13,38
35,14,0.06,0.674812030075188,0.677536231884058,0.6713406292749658,0.6666666666666666,0.677536231884058,23,24,16,28,19,16
36,14,0.06,0.7221052631578947,0.7244912897086809,0.713025236564658,0.7142857142857143,0.7244912897086809,18,22,23,25,19,19
37,14,0.06,0.75,0.7731397459165154,0.7417968638834344,0.7619047619047619,0.7731397459165154,15,19,29,24,15,24
38,14,0.06,0.7806372549019608,0.8624708624708625,0.802991361462126,0.8253968253968254,0.8624708624708625,13,11,39,16,17,30
39,14,0.06,0.6921739130434782,0.7148809523809524,0.687536231884058,0.7301587301587301,0.7148809523809524,21,10,32,25,15,23
40,14,0.06,0.6882716049382717,0.6746438746438747,0.6794231624420304,0.746031746031746,0.6746438746438747,26,10,27,27,8,28
41,14,0.06,0.7361111111111112,0.742283950617284,0.7387526205450734,0.7619047619047619,0.742283950617284,27,12,24,26,13,24
42,14,0.06,0.879451566951567,0.8811274509803922,0.8708333333333332,0.8888888888888888,0.8811274509803922,32,17,14,32,13,18
43,14,0.06,0.8841463414634146,0.7912280701754386,0.8203008030488634,0.873015873015873,0.7912280701754386,38,15,10,41,16,6
44,14,0.06,0.4671717171717172,0.42962962962962964,0.44126984126984126,0.6825396825396826,0.42962962962962964,40,18,5,44,12,7
45,14,0.06,0.6198924731182797,0.6186143039591315,0.6153717627401837,0.6507936507936508,0.6186143039591315,29,16,18,31,12,20
46,14,0.06,0.6140350877192983,0.6053176419309142,0.5873015873015873,0.6190476190476191,0.6053176419309142,23,19,21,19,11,33
47,14,0.06,0.8508212560386473,0.8650793650793651,0.8561443977839552,0.8412698412698413,0.8650793650793651,14,21,28,15,23,25
48,14,0.06,0.7583333333333333,0.7777222777222778,0.7646918299092212,0.7619047619047619,0.7777222777222778,13,22,28,15,24,24
49,14,0.06,0.6978706929926443,0.6498015873015873,0.6561459849131082,0.746031746031746,0.6498015873015873,7,24,32,7,15,41
50,14,0.06,0.7683699742523272,0.7250939849624061,0.7360263489295747,0.7619047619047619,0.7250939849624061,19,16,28,18,11,34
51,14,0.06,0.73994708994709,0.6977124183006534,0.7038813249339565,0.7619047619047619,0.6977124183006534,34,12,17,36,7,20
52,14,0.06,0.8397615456438986,0.8000730994152047,0.8156565656565656,0.8571428571428571,0.8000730994152047,38,16,9,39,17,7
53,14,0.06,0.7895785440613027,0.8065870910698497,0.797160243407708,0.8253968253968254,0.8065870910698497,29,26,8,29,25,9
54,14,0.06,0.7227272727272728,0.8214285714285715,0.7547720042417816,0.7619047619047619,0.8214285714285715,21,36,6,20,33,10
55,14,0.06,0.6959459459459459,0.8138888888888888,0.7259146082675495,0.7619047619047619,0.8138888888888888,18,40,5,16,37,10
56,14,0.06,0.7558808808808809,0.7861093155210802,0.7695906432748538,0.8095238095238095,0.7861093155210802,17,39,7,18,37,8
57,14,0.06,0.7322128851540617,0.8030303030303031,0.7591591591591591,0.7777777777777778,0.8030303030303031,11,40,12,14,34,15
58,14,0.06,0.7199023199023199,0.7843915343915344,0.7358024691358024,0.7619047619047619,0.7843915343915344,9,40,14,15,35,13
59,14,0.06,0.7776657329598505,0.8222222222222223,0.7825988966301164,0.7936507936507936,0.8222222222222223,12,30,21,17,21,25
60,14,0.06,0.85,0.8614329199036845,0.8537988581466842,0.873015873015873,0.8614329199036845,11,23,29,12,25,26
61,14,0.06,0.8291293169341949,0.7617012617012616,0.7826666087535652,0.8253968253968254,0.7617012617012616,14,13,36,9,13,41
