fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.12,0.7829365079365079,0.7722222222222221,0.7638326585695007,0.8095238095238095,0.7722222222222221,488,501,511,12,15,36,14,9,40
1,21,0.12,0.5333333333333333,0.4743589743589744,0.4908424908424909,0.7619047619047619,0.4743589743589744,500,507,514,0,24,39,3,15,45
2,21,0.12,0.6458333333333334,0.6111111111111112,0.6256109481915934,0.9523809523809523,0.6111111111111112,500,514,528,0,18,45,0,15,48
3,21,0.12,0.9148001756697409,0.8778735632183908,0.8869477038968564,0.873015873015873,0.8778735632183908,500,516,547,8,29,26,7,23,33
4,21,0.12,0.9224211423699914,0.9291101055806937,0.9231227374670797,0.9206349206349206,0.9291101055806937,500,531,553,17,26,20,17,23,23
5,21,0.12,0.8634469696969697,0.82703081232493,0.8316624895572264,0.8412698412698413,0.82703081232493,500,532,573,17,28,18,11,32,20
6,21,0.12,0.9032019704433497,0.9166666666666666,0.9094057334170328,0.9047619047619048,0.9166666666666666,508,545,573,13,20,30,14,20,29
7,21,0.12,0.871141975308642,0.876984126984127,0.8640552995391705,0.8095238095238095,0.876984126984127,517,557,573,4,24,35,4,32,27
8,21,0.12,0.8376068376068376,0.8585434173669468,0.8395913154533844,0.8571428571428571,0.8585434173669468,517,560,591,4,42,17,5,45,13
9,21,0.12,0.6181818181818182,0.5957894736842105,0.6055646481178396,0.9047619047619048,0.5957894736842105,521,565,603,0,38,25,1,40,22
10,21,0.12,0.6363636363636364,0.6511627906976744,0.6428571428571428,0.9682539682539683,0.6511627906976744,521,581,608,0,43,20,0,41,22
11,21,0.12,0.6363636363636364,0.6511627906976744,0.6428571428571428,0.9682539682539683,0.6511627906976744,521,602,608,0,43,20,0,41,22
12,21,0.12,0.65,0.6590909090909091,0.654288240495137,0.9841269841269841,0.6590909090909091,521,603,628,19,44,0,20,43,0
13,21,0.12,0.584045584045584,0.5876811594202899,0.5839598997493735,0.873015873015873,0.5876811594202899,521,624,628,23,40,0,26,36,1
14,21,0.12,0.6874643874643874,0.844047619047619,0.7163521146163383,0.7619047619047619,0.844047619047619,521,645,628,24,35,4,27,26,10
15,21,0.12,0.7147509578544061,0.8632478632478633,0.7386952229057492,0.7936507936507936,0.8632478632478633,540,647,628,26,33,4,29,24,10
16,21,0.12,0.7381102693602694,0.8824733824733825,0.7732002297219688,0.8253968253968254,0.8824733824733825,544,664,628,22,37,4,22,32,9
17,21,0.12,0.6241228070175439,0.5793650793650794,0.6008130081300813,0.873015873015873,0.5793650793650794,545,680,632,21,42,0,19,40,4
18,21,0.12,0.3275862068965517,0.3064516129032258,0.31666666666666665,0.9047619047619048,0.3064516129032258,566,680,632,0,62,1,1,58,4
19,21,0.12,0.6125116713352007,0.6309523809523809,0.6192187874430864,0.8888888888888888,0.6309523809523809,566,701,632,6,56,1,7,51,5
20,21,0.12,0.613871635610766,0.5751811594202899,0.5932367149758454,0.873015873015873,0.5751811594202899,566,722,632,16,46,1,14,46,3
21,21,0.12,0.6126568466993999,0.5549645390070922,0.5808266079726094,0.873015873015873,0.5549645390070922,566,742,633,16,47,0,13,47,3
22,21,0.12,0.5789473684210527,0.5333333333333333,0.5328282828282829,0.7619047619047619,0.5333333333333333,572,757,633,10,42,11,6,57,0
23,21,0.12,0.25396825396825395,0.3333333333333333,0.2882882882882883,0.7619047619047619,0.3333333333333333,582,768,633,0,48,15,0,63,0
24,21,0.12,0.25268817204301075,0.3263888888888889,0.28484848484848485,0.746031746031746,0.3263888888888889,582,789,633,0,48,15,0,62,1
25,21,0.12,0.5743589743589744,0.6470588235294118,0.6069759079467817,0.8888888888888888,0.6470588235294118,582,799,644,8,51,4,10,52,1
26,21,0.12,0.6086956521739131,0.6363636363636364,0.6190476190476191,0.9365079365079365,0.6363636363636364,582,816,648,19,44,0,23,40,0
27,21,0.12,0.5740740740740741,0.5765765765765766,0.5608198924731184,0.8412698412698413,0.5765765765765766,582,837,648,26,37,0,36,27,0
28,21,0.12,0.5370370370370371,0.5635658914728682,0.5422389801597989,0.8253968253968254,0.5635658914728682,590,850,648,20,43,0,27,36,0
29,21,0.12,0.7414529914529915,0.8935185185185185,0.7902353585112206,0.8253968253968254,0.8935185185185185,601,860,648,9,48,6,16,39,8
30,21,0.12,0.6511266511266511,0.7440993788819875,0.683527517287108,0.7619047619047619,0.7440993788819875,608,874,648,7,46,10,11,39,13
31,21,0.12,0.7602564102564102,0.7909781576448243,0.7731588919158286,0.7619047619047619,0.7909781576448243,610,893,648,26,27,10,25,26,12
32,21,0.12,0.7000000000000001,0.7859656683186095,0.7219806272437852,0.7777777777777778,0.7859656683186095,610,908,654,39,17,7,31,20,12
33,21,0.12,0.621482683982684,0.7474747474747474,0.6152518978605935,0.6984126984126984,0.7474747474747474,615,920,658,36,22,5,33,14,16
34,21,0.12,0.7559067688378033,0.7873015873015873,0.7205743743628213,0.6984126984126984,0.7873015873015873,636,920,658,15,34,14,16,18,29
35,21,0.12,0.6943977591036415,0.8093336465429489,0.7310515571385136,0.7619047619047619,0.8093336465429489,649,925,661,9,43,11,14,34,15
36,21,0.12,0.7220485025363074,0.8144770910728357,0.7471380471380472,0.8095238095238095,0.8144770910728357,651,942,663,7,47,9,13,41,9
37,21,0.12,0.6793650793650793,0.8712121212121212,0.708066581306018,0.7301587301587301,0.8712121212121212,651,954,672,7,44,12,15,27,21
38,21,0.12,0.7506095437129919,0.7841269841269841,0.7445326278659611,0.746031746031746,0.7841269841269841,658,968,672,15,35,13,12,29,22
39,21,0.12,0.7962962962962963,0.7135076252723311,0.7261396011396011,0.7619047619047619,0.7135076252723311,658,989,672,17,18,28,9,18,36
40,21,0.12,0.7074586106844171,0.6904761904761904,0.6807395848110843,0.6984126984126984,0.6904761904761904,658,998,684,21,20,22,14,18,31
