fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.1,0.5319727891156463,0.43828529194382854,0.45555555555555555,0.746031746031746,0.43828529194382854,541,384,575,0,22,41,4,10,49
1,21,0.1,0.6339869281045751,0.4901960784313726,0.5294845360824741,0.8571428571428571,0.4901960784313726,541,389,591,0,17,46,4,8,51
2,21,0.1,0.7852129803349316,0.7260869565217392,0.7310078796364934,0.7619047619047619,0.7260869565217392,541,392,609,10,23,30,9,13,41
3,21,0.1,0.8782051282051282,0.8777777777777778,0.87584229390681,0.8888888888888888,0.8777777777777778,541,406,616,24,15,24,21,16,26
4,21,0.1,0.8386034255599473,0.8344444444444443,0.8245595080535523,0.8253968253968254,0.8344444444444443,541,406,637,25,18,20,18,23,22
5,21,0.1,0.8541666666666666,0.9172932330827068,0.8625071225071226,0.8888888888888888,0.9172932330827068,551,415,639,19,9,35,17,16,30
6,21,0.1,0.8222222222222223,0.8712962962962963,0.8434723171565276,0.9047619047619048,0.8712962962962963,565,421,640,5,18,40,6,20,37
7,21,0.1,0.8030303030303031,0.9089026915113871,0.8264173886608907,0.873015873015873,0.9089026915113871,566,424,657,5,35,23,10,33,20
8,21,0.1,0.7020202020202021,0.9280626780626781,0.7147550034506556,0.8888888888888888,0.9280626780626781,570,424,674,1,36,26,6,33,24
9,21,0.1,0.7474747474747474,0.9682539682539683,0.8007936507936507,0.9365079365079365,0.9682539682539683,570,439,680,1,42,20,3,38,22
10,21,0.1,0.6507936507936508,0.6589147286821705,0.6546150167384027,0.9841269841269841,0.6589147286821705,571,459,680,0,43,20,0,42,21
11,21,0.1,0.6491228070175438,0.6444444444444445,0.6461634047840944,0.9523809523809523,0.6444444444444445,571,460,700,18,45,0,19,42,2
12,21,0.1,0.63357715081853,0.6261904761904762,0.6295149638802889,0.9365079365079365,0.6261904761904762,571,481,700,28,35,0,29,33,1
13,21,0.1,0.8434571963983729,0.8724340175953079,0.8483486622073578,0.8571428571428571,0.8724340175953079,571,502,700,31,22,10,33,17,13
14,21,0.1,0.85006105006105,0.8751289989680083,0.8539357772094345,0.873015873015873,0.8751289989680083,589,505,700,34,19,10,35,15,13
15,21,0.1,0.8817340067340068,0.8444444444444444,0.8575720431658134,0.873015873015873,0.8444444444444444,599,516,700,31,20,12,36,16,11
16,21,0.1,0.7265130568356374,0.7658730158730158,0.7384180790960452,0.8253968253968254,0.7658730158730158,602,524,710,28,30,5,31,25,7
17,21,0.1,0.6512746512746512,0.7361111111111112,0.6793309438470728,0.7936507936507936,0.7361111111111112,623,524,710,7,48,8,11,45,7
18,21,0.1,0.7465034965034963,0.7971428571428572,0.7574468085106383,0.8095238095238095,0.7971428571428572,630,536,712,6,50,7,6,44,13
19,21,0.1,0.776595744680851,0.6539473684210526,0.6927899686520377,0.8571428571428571,0.6539473684210526,630,554,715,19,40,4,14,47,2
20,21,0.1,0.8043478260869565,0.9220726234190127,0.8309466108540794,0.9206349206349206,0.9220726234190127,630,572,718,19,43,1,15,46,2
21,21,0.1,0.9689922480620154,0.8974358974358975,0.9231337767923135,0.9365079365079365,0.8974358974358975,636,586,719,13,39,11,9,43,11
