fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,10,0.06,0.5863354037267081,0.71875,0.5706702654071075,0.6190476190476191,0.71875,3,28,32,7,10,46
1,10,0.06,0.6090702947845804,0.616912366912367,0.5161774774177875,0.6507936507936508,0.616912366912367,4,22,37,9,5,49
2,10,0.06,0.5602836879432624,0.5292508417508417,0.48073181615350297,0.6349206349206349,0.5292508417508417,11,16,36,14,2,47
3,10,0.06,0.7818740399385561,0.6951058201058201,0.7163382594417076,0.7936507936507936,0.6951058201058201,27,8,28,31,4,28
4,10,0.06,0.6236842105263157,0.6328224776500638,0.6244100818082944,0.6349206349206349,0.6328224776500638,29,16,18,24,19,20
5,10,0.06,0.7996031746031745,0.7328787878787879,0.7299771167048056,0.7777777777777778,0.7328787878787879,25,16,22,32,7,24
6,10,0.06,0.6289364230540702,0.6587301587301587,0.5805580949893344,0.6349206349206349,0.6587301587301587,8,27,28,18,11,34
7,10,0.06,0.677156177156177,0.7602777777777779,0.6973180076628352,0.7301587301587301,0.7602777777777779,6,32,25,11,26,26
8,10,0.06,0.692018221429986,0.7111111111111111,0.6921838226186052,0.7619047619047619,0.7111111111111111,7,35,21,11,34,18
9,10,0.06,0.6093010303536618,0.7059052059052059,0.6392756680731364,0.6984126984126984,0.7059052059052059,6,44,13,9,35,19
10,10,0.06,0.49867724867724866,0.5482683982683983,0.5117965367965368,0.6507936507936508,0.5482683982683983,5,44,14,6,36,21
11,10,0.06,0.6149347728295097,0.7733333333333333,0.6505050505050505,0.746031746031746,0.7733333333333333,8,50,5,12,38,13
12,10,0.06,0.6388888888888888,0.6619047619047619,0.632051282051282,0.7936507936507936,0.6619047619047619,16,42,5,24,36,3
13,10,0.06,0.7654070660522274,0.7274904214559387,0.7341255694196871,0.7777777777777778,0.7274904214559387,24,29,10,31,25,7
14,10,0.06,0.7563159879336351,0.7203703703703704,0.7227487191948647,0.746031746031746,0.7203703703703704,25,20,18,34,16,13
15,10,0.06,0.7525166191832858,0.7004604872251932,0.7073922902494331,0.7142857142857143,0.7004604872251932,22,24,17,27,26,10
16,10,0.06,0.7110507246376812,0.7245149911816579,0.7151254480286738,0.6984126984126984,0.7245149911816579,21,27,15,24,23,16
17,10,0.06,0.5759336448991622,0.6376018876018876,0.5930735930735931,0.6190476190476191,0.6376018876018876,12,37,14,13,29,21
18,10,0.06,0.6972222222222223,0.6191239316239315,0.6235562374802881,0.7301587301587301,0.6191239316239315,8,39,16,3,40,20
19,10,0.06,0.6585858585858585,0.7902356902356903,0.6952958152958152,0.7301587301587301,0.7902356902356903,10,44,9,15,33,15
