fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.15,0.626984126984127,0.8874934589220304,0.6479785646452313,0.8253968253968254,0.8874934589220304,1,49,13,7,42,14
1,14,0.15,0.6037234042553191,0.5933503836317136,0.5982404692082112,0.9206349206349206,0.5933503836317136,0,46,17,0,47,16
2,14,0.15,0.5895875591615957,0.595980595980596,0.591378574477166,0.8888888888888888,0.595980595980596,0,37,26,0,34,29
3,14,0.15,0.5336306205871423,0.5622335890878091,0.5401960784313725,0.8253968253968254,0.5622335890878091,0,46,17,1,39,23
4,14,0.15,0.623015873015873,0.8794326241134751,0.6479755538579068,0.7301587301587301,0.8794326241134751,3,47,13,12,30,21
5,14,0.15,0.5871794871794872,0.9135802469135802,0.6480604128980388,0.7777777777777778,0.9135802469135802,3,54,6,10,40,13
6,14,0.15,0.6663299663299663,0.8578431372549019,0.7220872694556905,0.8253968253968254,0.8578431372549019,4,51,8,9,44,10
7,14,0.15,0.8211111111111111,0.8121402407116692,0.8162962962962963,0.8253968253968254,0.8121402407116692,1,49,13,1,50,12
8,14,0.15,0.6181657848324515,0.7792207792207791,0.6708897626328819,0.8571428571428571,0.7792207792207791,1,55,7,2,54,7
9,14,0.15,0.5828900709219859,0.5828900709219859,0.5828900709219859,0.9047619047619048,0.5828900709219859,0,47,16,0,47,16
10,14,0.15,0.5952380952380952,0.6474358974358975,0.6167656765676567,0.9523809523809523,0.6474358974358975,0,52,11,0,49,14
11,14,0.15,0.5952380952380952,0.6474358974358975,0.6167656765676567,0.9523809523809523,0.6474358974358975,0,52,11,0,49,14
12,14,0.15,0.6540880503144654,0.5996503496503497,0.6238095238095238,0.9523809523809523,0.5996503496503497,11,52,0,9,53,1
13,14,0.15,0.5578231292517007,0.5849673202614379,0.5697435897435897,0.9047619047619048,0.5849673202614379,12,51,0,14,49,0
14,14,0.15,0.5578231292517007,0.5849673202614379,0.5697435897435897,0.9047619047619048,0.5849673202614379,12,51,0,14,49,0
15,14,0.15,0.8522727272727272,0.8805237315875614,0.8635846911708981,0.8571428571428571,0.8805237315875614,13,47,3,16,44,3
16,14,0.15,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9047619047619048,0.8958333333333334,12,48,3,12,48,3
17,14,0.15,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.9047619047619048,0.8958333333333334,12,48,3,12,48,3
18,14,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
19,14,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
20,14,0.15,0.6551724137931035,0.5714285714285715,0.6052631578947368,0.9682539682539683,0.5714285714285715,7,56,0,5,58,0
21,14,0.15,0.6551724137931035,0.5714285714285715,0.6052631578947368,0.9682539682539683,0.5714285714285715,7,56,0,5,58,0
22,14,0.15,0.6540880503144654,0.5416666666666666,0.589704383282365,0.8888888888888888,0.5416666666666666,7,56,0,5,53,5
23,14,0.15,0.3333333333333333,0.2804232804232804,0.3045977011494253,0.8412698412698413,0.2804232804232804,0,63,0,0,53,10
24,14,0.15,0.3333333333333333,0.2804232804232804,0.3045977011494253,0.8412698412698413,0.2804232804232804,0,63,0,0,53,10
25,14,0.15,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1,62,0,1,62,0
26,14,0.15,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,10,53,0,10,53,0
27,14,0.15,0.6363636363636364,0.660377358490566,0.6476190476190476,0.9841269841269841,0.660377358490566,10,53,0,11,52,0
28,14,0.15,0.548611111111111,0.6043123543123543,0.5697435897435897,0.9047619047619048,0.6043123543123543,11,52,0,15,48,0
29,14,0.15,0.42857142857142855,0.639344262295082,0.4672364672364672,0.9206349206349206,0.639344262295082,2,61,0,7,56,0
30,14,0.15,0.7222222222222222,0.9830508474576272,0.8135265700483091,0.9523809523809523,0.9830508474576272,2,59,2,3,56,4
31,14,0.15,0.5273069679849341,0.6547619047619048,0.5797101449275363,0.8888888888888888,0.6547619047619048,5,56,2,1,59,3
32,14,0.15,0.8531400966183575,0.8279030910609858,0.8368983957219251,0.8095238095238095,0.8279030910609858,19,42,2,15,46,2
33,14,0.15,0.5698412698412698,0.7898816809465524,0.5775910364145659,0.7301587301587301,0.7898816809465524,19,43,1,15,42,6
34,14,0.15,0.7467532467532467,0.9169199594731509,0.7635327635327634,0.8888888888888888,0.9169199594731509,14,47,2,12,44,7
35,14,0.15,0.4166666666666667,0.6284153005464481,0.4463768115942029,0.8888888888888888,0.6284153005464481,0,61,2,1,54,8
36,14,0.15,0.4444444444444444,0.6397849462365591,0.4859943977591037,0.9206349206349206,0.6397849462365591,0,62,1,3,57,3
37,14,0.15,0.3333333333333333,0.31216931216931215,0.3224043715846994,0.9365079365079365,0.31216931216931215,0,63,0,3,59,1
