fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
26,21,0.15,0.6255813953488372,0.6339712918660286,0.6295313881520778,0.9523809523809523,0.6339712918660286,471,1060,515,19,44,0,20,43,0
27,21,0.15,0.6206896551724138,0.6315789473684211,0.6234567901234568,0.9365079365079365,0.6315789473684211,471,1081,515,25,38,0,29,34,0
28,21,0.15,0.6031746031746031,0.6376811594202899,0.616427432216906,0.9365079365079365,0.6376811594202899,479,1094,515,17,46,0,21,42,0
29,21,0.15,0.6444444444444445,0.9642857142857143,0.7311320754716982,0.9047619047619048,0.9642857142857143,490,1104,515,6,56,1,10,50,3
30,21,0.15,0.746031746031746,0.9696969696969697,0.8265512265512266,0.9206349206349206,0.9696969696969697,496,1119,515,4,55,4,7,50,6
31,21,0.15,0.7668168168168168,0.8443137254901961,0.7908189880020866,0.7936507936507936,0.8443137254901961,496,1140,515,25,34,4,20,37,6
32,21,0.15,0.7307060755336616,0.8558897243107769,0.7593473193473192,0.7777777777777778,0.8558897243107769,496,1160,516,38,21,4,27,29,7
33,21,0.15,0.6008064516129031,0.8186274509803922,0.5872242786328116,0.7301587301587301,0.8186274509803922,500,1174,519,34,28,1,24,31,8
34,21,0.15,0.698268106162843,0.8707037643207856,0.7006862745098039,0.7936507936507936,0.8707037643207856,521,1174,519,13,47,3,12,38,13
35,21,0.15,0.48333333333333334,0.9209039548022598,0.5329059829059829,0.7777777777777778,0.9209039548022598,534,1181,520,2,59,2,10,45,8
36,21,0.15,0.5213675213675214,0.788135593220339,0.572972972972973,0.8571428571428571,0.788135593220339,534,1202,520,2,59,2,8,52,3
37,21,0.15,0.6033333333333334,0.8190476190476191,0.6352201257861636,0.8412698412698413,0.8190476190476191,534,1221,522,2,56,5,8,50,5
38,21,0.15,0.7200854700854701,0.5665910808767952,0.5478976469075479,0.7619047619047619,0.5665910808767952,536,1240,522,9,49,5,2,52,9
39,21,0.15,0.8053297199638664,0.68505291005291,0.7058998100664767,0.7619047619047619,0.68505291005291,536,1261,522,9,40,14,4,41,18
40,21,0.15,0.7426900584795323,0.7154040404040404,0.6975948361147601,0.746031746031746,0.7154040404040404,536,1277,527,11,40,12,6,38,19
41,21,0.15,0.7255717255717257,0.8703703703703703,0.7617458279845956,0.8095238095238095,0.8703703703703703,545,1289,527,6,45,12,13,37,13
42,21,0.15,0.7437553832902669,0.7530864197530863,0.6873424971363115,0.7619047619047619,0.7530864197530863,545,1301,536,6,54,3,18,43,2
43,21,0.15,0.4393939393939394,0.5773809523809524,0.44270648181064104,0.7619047619047619,0.5773809523809524,547,1317,539,7,56,0,22,41,0
44,21,0.15,0.5249122807017544,0.5396825396825397,0.5297101449275362,0.8095238095238095,0.5396825396825397,551,1334,539,21,42,0,25,38,0
45,21,0.15,0.6078431372549019,0.5238095238095238,0.5434995112414467,0.8571428571428571,0.5238095238095238,551,1355,539,21,42,0,12,51,0
46,21,0.15,0.6394557823129251,0.5925925925925926,0.6108156028368795,0.9365079365079365,0.5925925925925926,554,1373,539,18,45,0,14,49,0
47,21,0.15,0.3333333333333333,0.30158730158730157,0.31666666666666665,0.9047619047619048,0.30158730158730157,572,1376,539,0,63,0,6,57,0
48,21,0.15,0.3333333333333333,0.328042328042328,0.33066666666666666,0.9841269841269841,0.328042328042328,572,1397,539,0,63,0,1,62,0
49,21,0.15,0.5535714285714285,0.5295454545454545,0.5405405405405405,0.9206349206349206,0.5295454545454545,572,1418,539,0,55,8,0,56,7
50,21,0.15,0.5770114942528736,0.49393939393939396,0.5237122759246654,0.9206349206349206,0.49393939393939396,572,1439,539,0,55,8,0,58,5
51,21,0.15,0.8504273504273504,0.7242063492063492,0.774920634920635,0.873015873015873,0.7242063492063492,572,1460,539,7,48,8,5,52,6
52,21,0.15,0.6543209876543209,0.6060606060606061,0.6270440251572328,0.9682539682539683,0.6060606060606061,572,1473,547,11,52,0,9,54,0
53,21,0.15,0.6424242424242425,0.5555555555555555,0.5874213836477987,0.9365079365079365,0.5555555555555555,572,1494,547,12,51,0,8,55,0
54,21,0.15,0.6451612903225806,0.39999999999999997,0.43333333333333335,0.9365079365079365,0.39999999999999997,579,1508,547,5,58,0,1,62,0
55,21,0.15,0.4166666666666667,0.6505376344086021,0.4584022038567493,0.9523809523809523,0.6505376344086021,583,1525,547,1,62,0,4,59,0
56,21,0.15,0.3333333333333333,0.328042328042328,0.33066666666666666,0.9841269841269841,0.328042328042328,584,1545,547,0,63,0,1,62,0
57,21,0.15,0.3333333333333333,0.32275132275132273,0.3279569892473118,0.9682539682539683,0.32275132275132273,584,1566,547,0,63,0,2,61,0
58,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,584,1587,547,0,63,0,0,63,0
59,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,584,1608,547,0,63,0,0,63,0
60,21,0.15,0.30687830687830686,0.3333333333333333,0.31955922865013775,0.9206349206349206,0.3333333333333333,584,1629,547,0,58,5,0,63,0
61,21,0.15,0.6081871345029239,0.4583333333333333,0.48310023310023303,0.8412698412698413,0.4583333333333333,584,1650,547,0,47,16,0,57,6
