fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.1,0.98,0.9166666666666666,0.9420716740304368,0.9523809523809523,0.9166666666666666,12,47,4,9,50,4
1,14,0.1,0.6388888888888888,0.6602564102564102,0.6489376670887858,0.9841269841269841,0.6602564102564102,0,52,11,0,51,12
2,14,0.1,0.6540880503144654,0.5996503496503497,0.6238095238095238,0.9523809523809523,0.5996503496503497,0,52,11,1,53,9
3,14,0.1,0.6759259259259259,0.933641975308642,0.7283559577677226,0.9206349206349206,0.933641975308642,1,54,8,4,50,9
4,14,0.1,0.6041666666666666,0.6530612244897959,0.6252394636015325,0.9523809523809523,0.6530612244897959,13,49,1,16,47,0
5,14,0.1,0.6054421768707483,0.6121031746031745,0.6087383406971035,0.9365079365079365,0.6121031746031745,14,48,1,14,49,0
6,14,0.1,0.6339712918660286,0.6255813953488372,0.6295313881520778,0.9523809523809523,0.6255813953488372,20,43,0,19,44,0
7,14,0.1,0.9269230769230768,0.9503843466107617,0.937844611528822,0.9523809523809523,0.9503843466107617,9,53,1,10,52,1
8,14,0.1,0.8255813953488372,0.9228723404255318,0.8666666666666667,0.9047619047619048,0.9228723404255318,8,47,8,10,43,10
9,14,0.1,0.8015278838808251,0.9108669108669109,0.841740715424926,0.8571428571428571,0.9108669108669109,13,42,8,17,35,11
10,14,0.1,0.8528769841269841,0.8814102564102564,0.8598870932320531,0.8888888888888888,0.8814102564102564,29,26,8,32,21,10
11,14,0.1,0.6444444444444445,0.623063973063973,0.6198523698523698,0.7777777777777778,0.623063973063973,36,22,5,30,30,3
12,14,0.1,0.7904761904761904,0.7006172839506174,0.7245048104131296,0.746031746031746,0.7006172839506174,24,27,12,21,35,7
13,14,0.1,0.5296296296296297,0.5079365079365079,0.5169466548776894,0.6984126984126984,0.5079365079365079,7,42,14,6,45,12
14,14,0.1,0.7914529914529914,0.908695652173913,0.8202614379084968,0.8571428571428571,0.908695652173913,7,46,10,14,39,10
15,14,0.1,0.5764779202279202,0.8026143790849675,0.5982713462545836,0.6666666666666666,0.8026143790849675,7,51,5,13,32,18
16,14,0.1,0.6619047619047619,0.5980066445182725,0.4563810798750558,0.5714285714285714,0.5980066445182725,14,43,6,2,40,21
17,14,0.1,0.6807692307692307,0.7407407407407408,0.6646031746031745,0.6507936507936508,0.7407407407407408,12,36,15,13,20,30
18,14,0.1,0.8022875816993466,0.8215277777777779,0.810483870967742,0.8095238095238095,0.8215277777777779,16,32,15,16,30,17
19,14,0.1,0.7716049382716049,0.7990591397849464,0.7822853279242731,0.7777777777777778,0.7990591397849464,16,31,16,18,27,18
20,14,0.1,0.7072811447811448,0.8015873015873015,0.7401709401709401,0.7777777777777778,0.8015873015873015,14,42,7,16,36,11
21,14,0.1,0.7554448135843485,0.7620370370370372,0.752715407082877,0.7936507936507936,0.7620370370370372,18,40,5,14,43,6
22,14,0.1,0.5706349206349206,0.5416231278300244,0.5429478458049887,0.8095238095238095,0.5416231278300244,29,33,1,20,42,1
23,14,0.1,0.6,0.6132478632478633,0.6061554512258738,0.9047619047619048,0.6132478632478633,26,36,1,28,35,0
24,14,0.1,0.871345029239766,0.9260651629072681,0.8939590275206714,0.9365079365079365,0.9260651629072681,18,38,7,19,35,9
25,14,0.1,0.6372863247863249,0.8580413297394429,0.6472921434019833,0.746031746031746,0.8580413297394429,3,53,7,16,39,8
26,14,0.1,0.5487922705314009,0.6768493560946393,0.589845826687932,0.7619047619047619,0.6768493560946393,3,53,7,5,46,12
27,14,0.1,0.7185185185185184,0.8023809523809525,0.7324202486576507,0.8412698412698413,0.8023809523809525,4,49,10,9,45,9
28,14,0.1,0.5615942028985508,0.5843253968253969,0.5716312056737589,0.873015873015873,0.5843253968253969,1,48,14,1,46,16
29,14,0.1,0.5496031746031745,0.5442372070779532,0.5427087108855866,0.7936507936507936,0.5442372070779532,5,41,17,1,48,14
30,14,0.1,0.811000369139904,0.7366452991452991,0.7670925280681379,0.8095238095238095,0.7366452991452991,16,39,8,14,43,6
31,14,0.1,0.6642512077294686,0.6073232323232324,0.629868578255675,0.7777777777777778,0.6073232323232324,16,44,3,15,46,2
32,14,0.1,0.6087179487179487,0.6258169934640523,0.6167656765676567,0.9523809523809523,0.6258169934640523,12,51,0,13,50,0
33,14,0.1,0.5555555555555555,0.6612021857923497,0.5972451790633609,0.9841269841269841,0.6612021857923497,2,61,0,3,60,0
34,14,0.1,0.5,0.6557377049180327,0.5499999999999999,0.9682539682539683,0.6557377049180327,2,61,0,4,59,0
35,14,0.1,0.4666666666666666,0.6502732240437158,0.5154061624649859,0.9523809523809523,0.6502732240437158,2,61,0,5,58,0
36,14,0.1,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,0,62,1,0,63,0
37,14,0.1,0.6557377049180327,0.5555555555555555,0.5944444444444444,0.9682539682539683,0.5555555555555555,3,59,1,2,61,0
38,14,0.1,0.9454545454545454,0.6767676767676768,0.7480748074807481,0.8571428571428571,0.6767676767676768,6,46,11,4,55,4
39,14,0.1,0.9056603773584905,0.6228070175438597,0.68009768009768,0.7619047619047619,0.6228070175438597,6,38,19,3,53,7
