fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20,fold_21,fold_22,fold_23,fold_24,fold_25,fold_26,fold_27,fold_28,fold_29,fold_30,fold_31,fold_32,fold_33,fold_34,fold_35,fold_36,fold_37,fold_38,fold_39,fold_40
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
1.0,1.0,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9991,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0,0.9854417846643868,1.0798508577855994,1.0,1.0,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,0.9482129025716558,1.0,0.9991,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0680243949708865,0.9991,0.9991,1.0,1.0,0.9854417846643868,1.0788789920135924,1.0,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9977162649321546,1.0,0.9482129025716558,1.0,0.8823890996945242,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
0.9991,1.0,1.0,0.9991,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,1.0,0.9991,1.0,1.0680243949708865,0.9991,0.9568399657230834,1.0,0.9991,0.9854417846643868,1.0788789920135924,1.0,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9977162649321546,1.0,0.9473595109593413,1.0,0.8823890996945242,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
0.9991,1.0,1.0,0.9981274969666065,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,0.9991,0.9991,1.0,1.0680243949708865,0.9991,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.0788789920135924,0.9991,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9977162649321546,1.0,0.9473595109593413,1.0,0.8823890996945242,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
0.9991,1.0,1.0,0.9981274969666065,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,0.9991,0.9991,1.0,1.0670631730154128,0.9991,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.0788789920135924,0.9991,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9968183202937156,1.0,0.9473595109593413,1.0,0.8823890996945242,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,0.9991
0.9991,1.0,1.0,0.9981274969666065,1.0,1.0,0.9991,1.0,1.0,1.0,0.9991,0.9991,0.9991,1.0,1.0670631730154128,0.9991,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.0788789920135924,0.9991,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9968183202937156,1.0,0.9473595109593413,0.9991,0.8823890996945242,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.065753040928922
0.9991,1.0,1.0,0.9981274969666065,1.0,1.0,0.9991,1.0,1.0,1.0,0.9266886253690761,0.9991,0.9991,1.0,1.0670631730154128,0.9991,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.0788789920135924,0.9991,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9968183202937156,1.0,0.9473595109593413,0.9991,0.8823890996945242,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.065753040928922
0.9991,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9991,0.9991,1.0,1.0670631730154128,0.9991,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.0788789920135924,0.9991,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9968183202937156,1.0,0.9473595109593413,0.9991,0.8823890996945242,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.065753040928922
0.9991,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9991,0.9991,1.0,1.0670631730154128,0.9991,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.0788789920135924,0.9991,1.0,1.0,0.9991,1.0144903740386677,1.0,1.0,0.9968183202937156,0.9991,0.9473595109593413,0.9991,0.8823890996945242,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.065753040928922
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9991,0.9046174362246348,1.0,1.0670631730154128,1.064612369936598,0.9568399657230834,1.0,0.9991,0.9845548870581888,1.1308455504430195,0.9991,1.0,1.0,0.8487290648593604,1.022645617395198,1.0,1.0,0.9968183202937156,0.9991,0.9473595109593413,0.9991,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.065753040928922
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9991,0.9046174362246348,1.0,1.0670631730154128,1.064612369936598,0.9568399657230834,1.0,1.0200326507448725,0.9845548870581888,1.1298277894476207,0.9991,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,1.0,0.9968183202937156,0.9991,0.9473433451351031,0.9991,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9167343376523893,0.9046174362246348,1.0,1.0670631730154128,1.064612369936598,0.9568399657230834,1.0,1.0200326507448725,1.0873259914439874,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,1.0,0.9968183202937156,0.9991,0.9473433451351031,0.9991,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9167343376523893,0.9046174362246348,1.0,1.0529084581913493,1.064612369936598,0.9568399657230834,1.0,1.0200326507448725,1.0863473980516878,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,1.0,0.9828926870564506,0.9991,0.9473433451351031,0.9991,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9266886253690761,0.9159092767485022,0.9038032805320325,1.0,1.0529084581913493,1.064612369936598,0.9568399657230834,1.0,1.0191146213592022,1.0863473980516878,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,1.0,0.9828926870564506,0.9991,0.9473433451351031,1.0651783831255055,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9981798601840768,0.9159092767485022,0.9038032805320325,1.0,1.0529084581913493,1.064612369936598,0.9568399657230834,1.0,1.0191146213592022,1.0863473980516878,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,0.9991,0.9828926870564506,0.9991,0.9473433451351031,1.0651783831255055,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,1.0,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9981798601840768,0.9159092767485022,0.9038032805320325,1.0,1.0529084581913493,1.063654218803655,0.9568399657230834,1.0,1.0191146213592022,1.0863473980516878,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,0.9991,0.9828926870564506,0.9991,0.9473433451351031,1.0651783831255055,0.8576349211139662,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,0.9991,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9981798601840768,0.9159092767485022,0.9038032805320325,1.0,1.0529084581913493,1.063654218803655,0.9568399657230834,1.0,1.0191146213592022,1.0863473980516878,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.022645617395198,1.0,0.9991,0.9828926870564506,1.0602689216271952,0.9473433451351031,1.0651783831255055,0.8568630496849636,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
0.9803788813750205,1.0,0.9991,0.9981274969666065,1.0,1.0,0.9755976582683002,1.0,1.0,1.0,0.9981798601840768,0.9159092767485022,0.9038032805320325,1.0,1.0529084581913493,1.063654218803655,0.9568399657230834,1.0,1.0191146213592022,1.0863473980516878,1.1298277894476207,1.1065388889850907,1.0,1.0,0.8479652087009869,1.0374849590828579,1.0,0.9991,0.9828926870564506,1.0602689216271952,0.9473433451351031,1.0651783831255055,0.8568630496849636,0.9931652013930823,1.0,1.0,1.0,1.0,1.0,1.0,1.064793863192086
