fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
21,21,0.06,0.7768640350877193,0.7823754789272032,0.7179977682129762,0.7142857142857143,0.7823754789272032,712,180,1049,15,29,19,19,12,32
22,21,0.06,0.5814814814814815,0.5161064425770308,0.5346650998824912,0.7777777777777778,0.5161064425770308,726,187,1049,1,28,34,5,18,40
23,21,0.06,0.7180236917079021,0.7385565052231718,0.7062430323299888,0.746031746031746,0.7385565052231718,726,200,1057,10,27,26,18,19,26
24,21,0.06,0.725,0.7189814814814816,0.6920787545787546,0.6825396825396826,0.7189814814814816,727,209,1068,20,27,16,32,15,16
25,21,0.06,0.5014279885760914,0.49174174174174173,0.4920542635658915,0.746031746031746,0.49174174174174173,727,215,1083,37,24,2,43,19,1
26,21,0.06,0.5166666666666667,0.39215686274509803,0.39153439153439146,0.746031746031746,0.39215686274509803,736,227,1083,44,17,2,55,4,4
27,21,0.06,0.3567251461988304,0.5,0.4161616161616162,0.6984126984126984,0.5,747,236,1084,42,17,4,57,0,6
28,21,0.06,0.8055555555555555,0.6398809523809524,0.5749299719887956,0.7301587301587301,0.6398809523809524,764,239,1085,33,16,14,44,1,18
29,21,0.06,0.6916461916461917,0.643314706283222,0.6383838383838384,0.7619047619047619,0.643314706283222,780,244,1085,29,11,23,37,4,22
30,21,0.06,0.7277167277167278,0.8900543900543901,0.7378917378917379,0.8571428571428571,0.8900543900543901,789,253,1088,39,2,22,39,7,17
31,21,0.06,0.6356589147286821,0.5793650793650794,0.6041279669762641,0.8888888888888888,0.5793650793650794,797,255,1099,42,0,21,43,3,17
32,21,0.06,0.5,0.5404944586530264,0.5036954915003695,0.7777777777777778,0.5404944586530264,809,255,1108,46,0,17,36,0,27
33,21,0.06,0.5694444444444445,0.5057471264367815,0.5036954915003695,0.7777777777777778,0.5057471264367815,828,255,1110,29,0,34,15,0,48
34,21,0.06,0.5430622009569378,0.5100806451612904,0.5019607843137255,0.7619047619047619,0.5100806451612904,839,255,1120,32,0,31,19,0,44
35,21,0.06,0.8270114942528736,0.7505494505494505,0.7726172132951795,0.8571428571428571,0.7505494505494505,855,255,1125,26,7,30,30,4,29
36,21,0.06,0.9333333333333332,0.7514880952380952,0.7724867724867724,0.9047619047619048,0.7514880952380952,857,255,1144,24,7,32,30,2,31
37,21,0.06,0.9333333333333332,0.7514880952380952,0.7724867724867724,0.9047619047619048,0.7514880952380952,871,255,1151,24,7,32,30,2,31
38,21,0.06,0.6470588235294118,0.6222222222222222,0.6343499197431782,0.9523809523809523,0.6222222222222222,881,262,1155,18,0,45,17,2,44
39,21,0.06,0.6376811594202899,0.6210144927536231,0.6291341508732813,0.9365079365079365,0.6210144927536231,881,262,1176,23,0,40,23,2,38
40,21,0.06,0.6257936507936508,0.5912280701754385,0.6060943887030844,0.9047619047619048,0.5912280701754385,895,262,1183,25,0,38,21,2,40
41,21,0.06,0.9436781609195402,0.8539956212370005,0.8875408861135891,0.9206349206349206,0.8539956212370005,899,262,1200,29,6,28,30,4,29
42,21,0.06,0.8076923076923076,0.8361111111111111,0.8087357399593685,0.8571428571428571,0.8361111111111111,904,262,1216,40,8,15,39,12,12
43,21,0.06,0.6810457516339868,0.5694444444444445,0.583752417794971,0.8095238095238095,0.5694444444444445,920,262,1221,43,8,12,51,2,10
44,21,0.06,0.6170940170940171,0.527739984882842,0.5547126141185547,0.8095238095238095,0.527739984882842,928,268,1228,49,5,9,52,6,5
45,21,0.06,0.5790335790335791,0.5733333333333334,0.57456797522725,0.8253968253968254,0.5733333333333334,944,270,1231,34,4,25,37,4,22
46,21,0.06,0.6405044231131187,0.6363636363636364,0.6363636363636364,0.8095238095238095,0.6363636363636364,963,270,1233,33,5,25,33,7,23
47,21,0.06,0.7467320261437909,0.7668128654970761,0.7486772486772487,0.8095238095238095,0.7668128654970761,977,273,1237,19,8,36,17,12,34
48,21,0.06,0.8074074074074075,0.7042606516290727,0.7383130081300813,0.8412698412698413,0.7042606516290727,978,274,1256,19,7,37,13,5,45
49,21,0.06,0.8418688230008985,0.625,0.660612011127475,0.8095238095238095,0.625,996,275,1258,8,11,44,7,3,53
50,21,0.06,0.7376126126126126,0.6597979797979798,0.6761904761904761,0.8412698412698413,0.6597979797979798,996,281,1273,25,5,33,24,2,37
51,21,0.06,0.6291229670162638,0.624025974025974,0.6187430478309233,0.8095238095238095,0.624025974025974,997,281,1293,44,5,14,43,3,17
52,21,0.06,0.7323149663575196,0.6685185185185185,0.6646903820816864,0.8412698412698413,0.6685185185185185,1004,286,1302,45,8,10,47,3,13
53,21,0.06,0.6403074050132873,0.6579335016835017,0.5855095204293844,0.6825396825396826,0.6579335016835017,1021,286,1306,32,22,9,39,7,17
54,21,0.06,0.6756436314363143,0.6944444444444443,0.5925925925925926,0.6825396825396826,0.6944444444444443,1041,286,1307,31,24,8,41,6,16
55,21,0.06,0.6698412698412698,0.8176245210727969,0.6822222222222223,0.746031746031746,0.8176245210727969,1049,294,1312,30,29,4,30,21,12
56,21,0.06,0.8142857142857144,0.8095238095238094,0.7985378059269684,0.7936507936507936,0.8095238095238094,1053,308,1315,28,21,14,20,28,15
57,21,0.06,0.8333333333333334,0.8277103013945118,0.8302170094622925,0.8253968253968254,0.8277103013945118,1072,310,1315,18,26,19,18,27,18
58,21,0.06,0.934609250398724,0.9371345029239766,0.93454651120555,0.9365079365079365,0.9371345029239766,1079,323,1316,20,19,24,22,19,22
59,21,0.06,0.9147025813692481,0.9054621848739496,0.9041055718475074,0.9047619047619048,0.9054621848739496,1081,329,1329,18,17,28,22,14,27
60,21,0.06,0.9011627906976744,0.9106060606060606,0.8961868272213099,0.9206349206349206,0.9106060606060606,1090,336,1334,9,10,44,12,8,43
