fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.08,0.625,0.7336917562724015,0.5601967882669637,0.6190476190476191,0.7336917562724015,2,30,31,5,8,50
1,14,0.08,0.7208150399639761,0.6616936629724354,0.6433998100664767,0.7142857142857143,0.6616936629724354,6,23,34,7,9,47
2,14,0.08,0.6566924066924067,0.6783475783475783,0.6301169590643275,0.6507936507936508,0.6783475783475783,10,26,27,14,12,37
3,14,0.08,0.733957219251337,0.73231031543052,0.7328790617902007,0.746031746031746,0.73231031543052,23,17,23,22,17,24
4,14,0.08,0.7228220122956964,0.7292592592592593,0.7177572829746742,0.7142857142857143,0.7292592592592593,20,25,18,26,19,18
5,14,0.08,0.6908212560386473,0.6981481481481481,0.6925374801083223,0.7142857142857143,0.6981481481481481,20,18,25,23,16,24
6,14,0.08,0.645291889774063,0.7379310344827587,0.6453703703703704,0.7142857142857143,0.7379310344827587,5,29,29,13,19,31
7,14,0.08,0.6938894438894438,0.8333333333333334,0.7232141699407425,0.746031746031746,0.8333333333333334,6,38,19,13,28,22
8,14,0.08,0.734920634920635,0.8478632478632478,0.7537226484796816,0.8253968253968254,0.8478632478632478,5,39,19,12,30,21
9,14,0.08,0.7840434419381789,0.8412698412698413,0.8081585081585082,0.873015873015873,0.8412698412698413,6,42,15,7,38,18
10,14,0.08,0.8615779645191409,0.872577519379845,0.8667557932263814,0.9206349206349206,0.872577519379845,4,43,16,4,42,17
11,14,0.08,0.7255813953488373,0.8472222222222222,0.7706552706552706,0.8888888888888888,0.8472222222222222,12,48,3,15,43,5
12,14,0.08,0.9174174174174174,0.7649122807017544,0.7957287157287157,0.8888888888888888,0.7649122807017544,20,38,5,24,37,2
13,14,0.08,0.8940886699507389,0.8144061302681992,0.8422468011277381,0.8571428571428571,0.8144061302681992,29,25,9,29,28,6
14,14,0.08,0.8248753561253562,0.8111743622180055,0.8164021164021164,0.8412698412698413,0.8111743622180055,31,17,15,32,18,13
15,14,0.08,0.7506645401382244,0.74334455667789,0.7404040404040404,0.7301587301587301,0.74334455667789,27,25,11,33,19,11
16,14,0.08,0.7916666666666666,0.8412796697626419,0.7979646540366181,0.7936507936507936,0.8412796697626419,19,34,10,27,24,12
17,14,0.08,0.7032051282051283,0.8068557919621749,0.725630167372454,0.7936507936507936,0.8068557919621749,6,47,10,13,40,10
18,14,0.08,0.5915032679738562,0.5977777777777779,0.5946094609460947,0.9206349206349206,0.5977777777777779,1,50,12,0,51,12
19,14,0.08,0.8694541231126597,0.8856589147286821,0.8724867724867725,0.9047619047619048,0.8856589147286821,12,43,8,15,41,7
20,14,0.08,0.926241134751773,0.8129251700680272,0.8379629629629629,0.9365079365079365,0.8129251700680272,12,49,2,15,47,1
21,14,0.08,0.9333333333333332,0.9787234042553191,0.951973951973952,0.9523809523809523,0.9787234042553191,12,47,4,15,44,4
22,14,0.08,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0,51,12,0,51,12
23,14,0.08,0.66,0.6343589743589744,0.6466666666666666,0.9682539682539683,0.6343589743589744,0,50,13,1,50,12
24,14,0.08,0.7709750566893424,0.9137254901960784,0.782962962962963,0.9206349206349206,0.9137254901960784,2,51,10,6,49,8
25,14,0.08,0.5112280701754387,0.5957446808510638,0.5295123177476119,0.8095238095238095,0.5957446808510638,14,47,2,25,38,0
26,14,0.08,0.5362158167036216,0.575599128540305,0.5509838998211092,0.8412698412698413,0.575599128540305,17,45,1,22,41,0
27,14,0.08,0.5246913580246914,0.5266805266805267,0.5255449297837512,0.7936507936507936,0.5266805266805267,26,37,0,27,36,0
28,14,0.08,0.9523809523809524,0.7777777777777777,0.841025641025641,0.8888888888888888,0.7777777777777777,18,42,3,12,49,2
29,14,0.08,0.8560606060606061,0.7730263157894738,0.7967118591242013,0.8095238095238095,0.7730263157894738,19,32,12,12,40,11
30,14,0.08,0.7830917874396136,0.7634920634920634,0.7707070707070708,0.7777777777777778,0.7634920634920634,21,30,12,23,30,10
31,14,0.08,0.7797385620915033,0.7474747474747474,0.760850743459439,0.7936507936507936,0.7474747474747474,33,18,12,36,17,10
32,14,0.08,0.6978557504873294,0.674527227158806,0.6830409356725147,0.7301587301587301,0.674527227158806,38,14,11,38,16,9
33,14,0.08,0.7674362674362675,0.7513888888888888,0.732358059502871,0.7301587301587301,0.7513888888888888,27,16,20,22,27,14
34,14,0.08,0.8062678062678064,0.7018853695324284,0.6995834066772283,0.746031746031746,0.7018853695324284,17,26,20,6,39,18
35,14,0.08,0.8507936507936508,0.8592592592592593,0.8546998838911605,0.8571428571428571,0.8592592592592593,15,36,12,16,35,12
36,14,0.08,0.8339181286549707,0.8215249662618084,0.824105718842561,0.8412698412698413,0.8215249662618084,13,38,12,15,38,10
37,14,0.08,0.8513888888888889,0.8407407407407407,0.8432714239165852,0.8412698412698413,0.8407407407407407,15,30,18,16,32,15
38,14,0.08,0.8542761586239846,0.8661338661338661,0.8592592592592592,0.8571428571428571,0.8661338661338661,13,22,28,14,23,26
39,14,0.08,0.7389473684210527,0.7199095022624434,0.7158323158323158,0.7142857142857143,0.7199095022624434,20,17,26,19,25,19
40,14,0.08,0.7670083184789066,0.7486772486772487,0.745581575417083,0.746031746031746,0.7486772486772487,21,18,24,22,24,17
41,14,0.08,0.8265460030165913,0.6834130781499203,0.6824996497127644,0.6984126984126984,0.6834130781499203,22,22,19,17,39,7
42,14,0.08,0.8452991452991453,0.8393162393162393,0.8367724867724867,0.8412698412698413,0.8393162393162393,25,26,12,20,30,13
43,14,0.08,0.8927738927738927,0.7876241405653172,0.8187094828885874,0.8571428571428571,0.7876241405653172,34,22,7,33,26,4
44,14,0.08,0.5648148148148148,0.578494623655914,0.5692589683163131,0.8412698412698413,0.578494623655914,30,31,2,27,36,0
45,14,0.08,0.813828689370485,0.7848484848484848,0.7961551490514904,0.8253968253968254,0.7848484848484848,22,30,11,19,34,10
46,14,0.08,0.8240297713981924,0.8399470899470899,0.8176932367149758,0.8253968253968254,0.8399470899470899,14,36,13,11,33,19
47,14,0.08,0.8013019079685746,0.7976702508960574,0.7945804875340108,0.7777777777777778,0.7976702508960574,12,31,20,11,27,25
48,14,0.08,0.8379629629629629,0.8626821207466367,0.8471986229107668,0.8412698412698413,0.8626821207466367,11,31,21,12,27,24
49,14,0.08,0.5938556067588326,0.6786786786786787,0.6010848783958028,0.746031746031746,0.6786786786786787,2,37,24,7,31,25
50,14,0.08,0.7048452396499935,0.7087813620071685,0.7063027295285359,0.7142857142857143,0.7087813620071685,12,31,20,13,31,19
51,14,0.08,0.7550505050505051,0.7228571428571429,0.7333255822966321,0.7619047619047619,0.7228571428571429,28,25,10,33,22,8
52,14,0.08,0.7003519356460534,0.6984126984126985,0.6886480812571393,0.6984126984126984,0.6984126984126985,35,25,3,26,34,3
53,14,0.08,0.7092063492063492,0.9149549549549549,0.7562962962962962,0.873015873015873,0.9149549549549549,25,37,1,25,35,3
54,14,0.08,0.6388888888888888,0.8488888888888889,0.6882086167800453,0.8412698412698413,0.8488888888888889,12,50,1,12,48,3
55,14,0.08,0.7433333333333333,0.9474358974358975,0.7693842449260405,0.9365079365079365,0.9474358974358975,10,52,1,9,50,4
56,14,0.08,0.6303030303030303,0.5757575757575758,0.594804318488529,0.9047619047619048,0.5757575757575758,11,49,3,8,55,0
57,14,0.08,0.8472222222222222,0.6282539682539682,0.6987484912013214,0.873015873015873,0.6282539682539682,7,50,6,4,56,3
58,14,0.08,0.6597222222222222,0.6699346405228758,0.622895622895623,0.7936507936507936,0.6699346405228758,6,51,6,12,48,3
59,14,0.08,0.7986584107327142,0.85014245014245,0.8187087380013288,0.8253968253968254,0.85014245014245,9,39,15,10,34,19
60,14,0.08,0.9206349206349206,0.8596380471380471,0.8847477727640864,0.8888888888888888,0.8596380471380471,9,32,22,7,35,21
61,14,0.08,0.9087481146304676,0.7898048586220628,0.8265506662831944,0.8571428571428571,0.7898048586220628,5,27,31,3,34,26
