fold,train_start,train_end,test_start,test_end,train_start_ix,train_end_ix,test_start_ix,test_end_ix
50,2018-01-22 00:00:00+00:00,2025-01-14 00:00:00+00:00,2025-01-15 00:00:00+00:00,2025-03-18 00:00:00+00:00,0,2549,2550,2612
51,2018-01-22 00:00:00+00:00,2025-02-04 00:00:00+00:00,2025-02-05 00:00:00+00:00,2025-04-08 00:00:00+00:00,0,2570,2571,2633
52,2018-01-22 00:00:00+00:00,2025-02-25 00:00:00+00:00,2025-02-26 00:00:00+00:00,2025-04-29 00:00:00+00:00,0,2591,2592,2654
53,2018-01-22 00:00:00+00:00,2025-03-18 00:00:00+00:00,2025-03-19 00:00:00+00:00,2025-05-20 00:00:00+00:00,0,2612,2613,2675
54,2018-01-22 00:00:00+00:00,2025-04-08 00:00:00+00:00,2025-04-09 00:00:00+00:00,2025-06-10 00:00:00+00:00,0,2633,2634,2696
55,2018-01-22 00:00:00+00:00,2025-04-29 00:00:00+00:00,2025-04-30 00:00:00+00:00,2025-07-01 00:00:00+00:00,0,2654,2655,2717
56,2018-01-22 00:00:00+00:00,2025-05-20 00:00:00+00:00,2025-05-21 00:00:00+00:00,2025-07-22 00:00:00+00:00,0,2675,2676,2738
57,2018-01-22 00:00:00+00:00,2025-06-10 00:00:00+00:00,2025-06-11 00:00:00+00:00,2025-08-12 00:00:00+00:00,0,2696,2697,2759
58,2018-01-22 00:00:00+00:00,2025-07-01 00:00:00+00:00,2025-07-02 00:00:00+00:00,2025-09-02 00:00:00+00:00,0,2717,2718,2780
59,2018-01-22 00:00:00+00:00,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,2025-09-23 00:00:00+00:00,0,2738,2739,2801
60,2018-01-22 00:00:00+00:00,2025-08-12 00:00:00+00:00,2025-08-13 00:00:00+00:00,2025-10-14 00:00:00+00:00,0,2759,2760,2822
61,2018-01-22 00:00:00+00:00,2025-09-02 00:00:00+00:00,2025-09-03 00:00:00+00:00,2025-11-04 00:00:00+00:00,0,2780,2781,2843
62,2018-01-22 00:00:00+00:00,2025-09-23 00:00:00+00:00,2025-09-24 00:00:00+00:00,2025-11-25 00:00:00+00:00,0,2801,2802,2864
