fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.06,0.6666666666666666,0.6458333333333334,0.6559139784946236,0.9841269841269841,0.6458333333333334,546,122,832,16,0,47,15,1,47
1,21,0.06,0.6440677966101694,0.6,0.617933723196881,0.9365079365079365,0.6,561,122,838,5,3,55,4,0,59
2,21,0.06,0.5994152046783626,0.6666666666666666,0.6304112554112554,0.9523809523809523,0.6666666666666666,561,122,859,5,3,55,6,0,57
3,21,0.06,0.6122448979591837,0.5789473684210527,0.5865319865319866,0.873015873015873,0.5789473684210527,562,122,879,19,3,41,14,0,49
4,21,0.06,0.5740740740740741,0.5380952380952381,0.5420197740112994,0.7936507936507936,0.5380952380952381,566,125,893,35,0,28,24,3,36
5,21,0.06,0.6151368760064412,0.677037037037037,0.6110648019511592,0.7301587301587301,0.677037037037037,566,125,914,36,2,25,23,4,36
6,21,0.06,0.5957364341085271,0.5866666666666667,0.5852789498359119,0.873015873015873,0.5866666666666667,581,125,920,25,2,36,20,0,43
7,21,0.06,0.621947496947497,0.6926328502415459,0.6428995840760546,0.7936507936507936,0.6926328502415459,601,125,921,8,9,46,13,8,42
8,21,0.06,0.6758241758241758,0.6889400921658986,0.6610559150892757,0.7142857142857143,0.6889400921658986,602,127,939,18,14,31,28,13,22
9,21,0.06,0.6644370122630993,0.7095238095238096,0.6660316230208704,0.7301587301587301,0.7095238095238096,606,127,956,14,14,35,23,13,27
10,21,0.06,0.7006578947368421,0.7070242656449554,0.6880914407230195,0.7619047619047619,0.7070242656449554,609,134,967,25,9,29,19,16,28
11,21,0.06,0.8007223942208462,0.780672268907563,0.7810457516339869,0.8412698412698413,0.780672268907563,620,141,970,14,15,34,10,19,34
12,21,0.06,0.7564102564102564,0.7579365079365079,0.7448838669177652,0.7301587301587301,0.7579365079365079,620,141,991,33,16,14,26,24,13
13,21,0.06,0.9417417417417417,0.888888888888889,0.9074481074481074,0.9206349206349206,0.888888888888889,634,143,996,33,15,15,37,11,15
