fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_train_-1,y_train_0,y_train_1,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.08,0.8282828282828283,0.7142857142857143,0.65,0.8095238095238095,0.7142857142857143,579,254,667,4,14,45,6,2,55
1,21,0.08,0.8857142857142857,0.7272727272727272,0.7065527065527065,0.8571428571428571,0.7272727272727272,579,257,685,4,11,48,5,2,56
2,21,0.08,0.8777173913043478,0.6875,0.6353006049400737,0.7619047619047619,0.6875,579,259,704,15,16,32,16,1,46
3,21,0.08,0.888888888888889,0.8218390804597702,0.8421373947689738,0.9206349206349206,0.8218390804597702,583,268,712,29,8,26,28,5,30
4,21,0.08,0.7730158730158729,0.7353535353535353,0.7294444444444445,0.8412698412698413,0.7353535353535353,583,268,733,30,11,22,30,5,28
5,21,0.08,0.7943722943722943,0.8691626409017713,0.8167388167388167,0.9206349206349206,0.8691626409017713,594,275,736,23,4,36,22,7,34
6,21,0.08,0.7682843472317157,0.8232142857142858,0.7829059829059828,0.8571428571428571,0.8232142857142858,612,276,738,7,16,40,11,14,38
7,21,0.08,0.8038239538239539,0.8530734632683658,0.8010273513119813,0.8095238095238095,0.8530734632683658,613,279,755,11,29,23,20,22,21
8,21,0.08,0.7922222222222222,0.8522325375773652,0.8025762620657183,0.8412698412698413,0.8522325375773652,617,279,772,8,29,26,14,24,25
9,21,0.08,0.7888888888888889,0.8041666666666667,0.795627478298146,0.8412698412698413,0.8041666666666667,619,292,778,10,32,21,11,30,22
10,21,0.08,0.9431818181818182,0.7089225589225588,0.7363104731525784,0.9047619047619048,0.7089225589225588,624,308,778,5,36,22,1,40,22
11,21,0.08,0.7682539682539682,0.7622377622377622,0.7650377784319499,0.8888888888888888,0.7622377622377622,625,308,798,22,39,2,21,40,2
12,21,0.08,0.9397979797979797,0.8665674603174603,0.8950462236176522,0.9206349206349206,0.8665674603174603,629,324,799,32,24,7,33,25,5
13,21,0.08,0.6666666666666666,0.6565545808966862,0.6413398692810458,0.8095238095238095,0.6565545808966862,629,344,800,38,9,16,42,3,18
14,21,0.08,0.600378787878788,0.6107843137254901,0.6046176046176046,0.8412698412698413,0.6107843137254901,647,347,800,40,6,17,44,3,16
15,21,0.08,0.865036231884058,0.6684981684981685,0.6291908633372049,0.7936507936507936,0.6684981684981685,661,348,806,36,13,14,46,1,16
16,21,0.08,0.8036036036036037,0.7927536231884057,0.7541937371963711,0.7936507936507936,0.7927536231884057,667,353,816,30,23,10,37,11,15
17,21,0.08,0.7035024154589372,0.7925696594427244,0.724390551976759,0.7142857142857143,0.7925696594427244,687,353,817,10,34,19,16,24,23
18,21,0.08,0.8661616161616162,0.8687127024722933,0.8672594474436329,0.8253968253968254,0.8687127024722933,697,361,820,6,34,23,6,33,24
19,21,0.08,0.8739430504136386,0.8246378473416658,0.8407407407407407,0.8412698412698413,0.8246378473416658,697,376,826,19,27,17,17,33,13
20,21,0.08,0.8431306306306307,0.8937885253674728,0.8575213869331515,0.873015873015873,0.8937885253674728,697,387,836,19,37,7,16,37,10
21,21,0.08,0.871952608794714,0.888888888888889,0.8741414141414142,0.8888888888888888,0.888888888888889,703,395,843,13,39,11,11,38,14
22,21,0.08,0.5608974358974359,0.5962962962962962,0.5714285714285715,0.873015873015873,0.5962962962962962,716,403,843,0,45,18,0,39,24
23,21,0.08,0.6060606060606061,0.6148148148148148,0.6052208835341365,0.8888888888888888,0.6148148148148148,716,424,843,0,45,18,3,38,22
24,21,0.08,0.7333333333333334,0.8786231884057972,0.7695473251028807,0.8095238095238095,0.8786231884057972,716,434,854,9,46,8,18,35,10
25,21,0.08,0.5619047619047619,0.5789473684210527,0.554014723506249,0.8253968253968254,0.5789473684210527,716,448,861,24,38,1,35,28,0
26,21,0.08,0.5968992248062016,0.5714285714285715,0.5721500721500722,0.8571428571428571,0.5714285714285715,716,469,861,34,28,1,43,20,0
27,21,0.08,0.4084249084249085,0.3575883575883576,0.3354897287481557,0.6031746031746031,0.3575883575883576,725,480,862,37,26,0,52,7,4
