fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.15,0.6319444444444445,0.41358024691358025,0.4861739567621921,0.746031746031746,0.41358024691358025,9,54,0,4,48,11
1,21,0.15,0.3333333333333333,0.2962962962962963,0.3137254901960784,0.8888888888888888,0.2962962962962963,0,63,0,0,56,7
2,21,0.15,0.3333333333333333,0.291005291005291,0.3107344632768361,0.873015873015873,0.291005291005291,0,63,0,0,55,8
3,21,0.15,0.5925925925925926,0.6547619047619048,0.618939393939394,0.9682539682539683,0.6547619047619048,7,56,0,9,54,0
4,21,0.15,0.6086956521739131,0.6363636363636364,0.6190476190476191,0.9365079365079365,0.6363636363636364,19,44,0,23,40,0
5,21,0.15,0.5780933062880325,0.5873684210526315,0.5802469135802469,0.873015873015873,0.5873684210526315,25,38,0,29,34,0
6,21,0.15,0.5844961240310078,0.6,0.5913078149920254,0.9047619047619048,0.6,18,45,0,20,43,0
7,21,0.15,0.5151515151515151,0.6140350877192983,0.5400560224089636,0.8571428571428571,0.6140350877192983,6,57,0,11,48,4
8,21,0.15,0.6243386243386243,0.9464285714285715,0.7093353248693055,0.8571428571428571,0.9464285714285715,3,56,4,7,47,9
9,21,0.15,0.6961873638344226,0.8265873015873016,0.7235735279213541,0.7619047619047619,0.8265873015873016,24,35,4,20,34,9
10,21,0.15,0.8662835249042146,0.8289473684210525,0.828236594803759,0.8095238095238095,0.8289473684210525,38,20,5,29,30,4
11,21,0.15,0.5641025641025641,0.5619047619047619,0.5439137134052389,0.8095238095238095,0.5619047619047619,35,27,1,24,39,0
12,21,0.15,0.63510101010101,0.7891534391534392,0.6723646723646723,0.746031746031746,0.7891534391534392,14,45,4,22,33,8
13,21,0.15,0.487991718426501,0.814176245210728,0.5329059829059829,0.7777777777777778,0.814176245210728,2,58,3,10,46,7
14,21,0.15,0.75,0.9827586206896551,0.8324202837477174,0.9523809523809523,0.9827586206896551,2,58,3,4,55,4
15,21,0.15,0.8829365079365079,0.9273809523809525,0.8903439153439153,0.9682539682539683,0.9273809523809525,2,56,5,3,56,4
16,21,0.15,0.8191489361702128,0.8987150415721844,0.843420060331825,0.9047619047619048,0.8987150415721844,9,49,5,8,47,8
17,21,0.15,0.8493589743589745,0.8596344937808352,0.8503718728870858,0.873015873015873,0.8596344937808352,9,41,13,8,39,16
18,21,0.15,0.8143939393939394,0.7553584626755359,0.7782343559433343,0.8253968253968254,0.7553584626755359,11,41,11,8,44,11
19,21,0.15,0.6358585858585859,0.6721563460693895,0.6407407407407407,0.746031746031746,0.6721563460693895,6,46,11,10,44,9
20,21,0.15,0.7058343533251734,0.5740740740740741,0.5413745704467354,0.6984126984126984,0.5740740740740741,6,54,3,19,43,1
21,21,0.15,0.40891472868217055,0.5233918128654971,0.4082051282051282,0.746031746031746,0.5233918128654971,6,57,0,20,43,0
22,21,0.15,0.47655583972719523,0.4603174603174603,0.4657097288676237,0.746031746031746,0.4603174603174603,21,42,0,17,46,0
23,21,0.15,0.5628415300546448,0.3650793650793651,0.32981567468692835,0.6984126984126984,0.3650793650793651,21,42,0,2,61,0
24,21,0.15,0.6326530612244898,0.5789473684210527,0.5982404692082112,0.9206349206349206,0.5789473684210527,19,44,0,14,49,0
25,21,0.15,0.3333333333333333,0.2962962962962963,0.3137254901960784,0.8888888888888888,0.2962962962962963,0,63,0,7,56,0
26,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
27,21,0.15,0.5712121212121212,0.5712121212121212,0.5712121212121212,0.9365079365079365,0.5712121212121212,0,55,8,0,55,8
28,21,0.15,0.5712121212121212,0.5712121212121212,0.5712121212121212,0.9365079365079365,0.5712121212121212,0,55,8,0,55,8
29,21,0.15,0.9188034188034188,0.812641723356009,0.857957224293858,0.9206349206349206,0.812641723356009,6,49,8,5,52,6
30,21,0.15,0.6484848484848484,0.5757575757575758,0.6046892933267749,0.9523809523809523,0.5757575757575758,11,52,0,8,55,0
31,21,0.15,0.6424242424242425,0.5555555555555555,0.5874213836477987,0.9365079365079365,0.5555555555555555,12,51,0,8,55,0
32,21,0.15,0.5333333333333333,0.43859649122807015,0.4672364672364672,0.9206349206349206,0.43859649122807015,6,57,0,3,60,0
33,21,0.15,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,1,62,0,0,63,0
34,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
35,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
36,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
37,21,0.15,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
38,21,0.15,0.30687830687830686,0.3333333333333333,0.31955922865013775,0.9206349206349206,0.3333333333333333,0,58,5,0,63,0
39,21,0.15,0.6091954022988505,0.4444444444444444,0.46855345911949686,0.8412698412698413,0.4444444444444444,0,48,15,0,58,5
