fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,7,0.12,0.40740740740740744,0.6120218579234973,0.42478354978354976,0.8412698412698413,0.6120218579234973,0,61,2,3,51,9
1,7,0.12,0.5333333333333333,0.6374269005847953,0.5680428134556575,0.9206349206349206,0.6374269005847953,0,57,6,1,52,10
2,7,0.12,0.5614035087719298,0.62,0.5790770609318997,0.8888888888888888,0.62,0,50,13,1,43,19
3,7,0.12,0.45555555555555555,0.5384615384615384,0.43283004258614016,0.6825396825396826,0.5384615384615384,0,52,11,1,32,30
4,7,0.12,0.48692810457516345,0.5826839826839826,0.5187024164184045,0.873015873015873,0.5826839826839826,1,55,7,0,51,12
5,7,0.12,0.6559139784946236,0.5,0.5500910746812386,0.9682539682539683,0.5,1,60,2,0,62,1
6,7,0.12,0.41111111111111115,0.48809523809523814,0.4436781609195402,0.873015873015873,0.48809523809523814,5,56,2,0,60,3
7,7,0.12,0.2903225806451613,0.32727272727272727,0.3076923076923077,0.8571428571428571,0.32727272727272727,4,55,4,0,62,1
8,7,0.12,0.3,0.3157894736842105,0.3076923076923077,0.8571428571428571,0.3157894736842105,4,57,2,0,60,3
9,7,0.12,0.5535714285714285,0.5295454545454545,0.5405405405405405,0.9206349206349206,0.5295454545454545,0,55,8,0,56,7
10,7,0.12,0.4784382284382284,0.5760233918128655,0.5080050368771362,0.8888888888888888,0.5760233918128655,0,57,6,0,52,11
11,7,0.12,0.4656862745098039,0.5701754385964912,0.49382716049382713,0.873015873015873,0.5701754385964912,0,57,6,0,51,12
12,7,0.12,0.30952380952380953,0.2937853107344633,0.30144927536231886,0.8253968253968254,0.2937853107344633,4,59,0,0,56,7
13,7,0.12,0.31216931216931215,0.3333333333333333,0.3224043715846994,0.9365079365079365,0.3333333333333333,4,59,0,0,63,0
14,7,0.12,0.31216931216931215,0.3333333333333333,0.3224043715846994,0.9365079365079365,0.3333333333333333,4,59,0,0,63,0
15,7,0.12,0.4717514124293785,0.4166666666666667,0.4342555994729908,0.8888888888888888,0.4166666666666667,7,56,0,4,59,0
16,7,0.12,0.43793103448275866,0.41071428571428575,0.42105263157894735,0.873015873015873,0.41071428571428575,7,56,0,5,58,0
17,7,0.12,0.4717514124293785,0.4166666666666667,0.4342555994729908,0.8888888888888888,0.4166666666666667,7,56,0,4,59,0
18,7,0.12,0.3333333333333333,0.31746031746031744,0.3252032520325203,0.9523809523809523,0.31746031746031744,0,63,0,3,60,0
19,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
20,7,0.12,0.6559139784946236,0.4444444444444444,0.49453551912568305,0.9682539682539683,0.4444444444444444,3,60,0,1,62,0
21,7,0.12,0.6559139784946236,0.4444444444444444,0.49453551912568305,0.9682539682539683,0.4444444444444444,3,60,0,1,62,0
22,7,0.12,0.6612021857923497,0.5555555555555555,0.5972451790633609,0.9841269841269841,0.5555555555555555,3,60,0,2,61,0
23,7,0.12,0.4166666666666667,0.633879781420765,0.44942528735632187,0.9047619047619048,0.633879781420765,0,61,2,0,55,8
24,7,0.12,0.4166666666666667,0.633879781420765,0.44942528735632187,0.9047619047619048,0.633879781420765,0,61,2,0,55,8
25,7,0.12,0.4444444444444444,0.6448087431693988,0.48870056497175146,0.9365079365079365,0.6448087431693988,0,61,2,0,57,6
26,7,0.12,0.5555555555555555,0.6553672316384181,0.5942528735632183,0.9682539682539683,0.6553672316384181,4,59,0,6,57,0
27,7,0.12,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,4,59,0,4,59,0
28,7,0.12,0.6111111111111112,0.6609195402298851,0.6334650856389987,0.9841269841269841,0.6609195402298851,5,58,0,6,57,0
29,7,0.12,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,1,62,0,0,63,0
30,7,0.12,0.32786885245901637,0.3225806451612903,0.3252032520325203,0.9523809523809523,0.3225806451612903,1,62,0,0,61,2
31,7,0.12,0.3333333333333333,0.32275132275132273,0.3279569892473118,0.9682539682539683,0.32275132275132273,0,63,0,0,61,2
32,7,0.12,0.65,0.4053672316384181,0.4526610644257703,0.9206349206349206,0.4053672316384181,4,59,0,1,60,2
33,7,0.12,0.760828625235405,0.7385057471264368,0.6190883190883191,0.9206349206349206,0.7385057471264368,4,58,1,1,59,3
34,7,0.12,0.3884180790960452,0.48245614035087714,0.421455938697318,0.873015873015873,0.48245614035087714,4,57,2,0,59,4
35,7,0.12,0.4110169491525424,0.48360655737704916,0.43333333333333335,0.9365079365079365,0.48360655737704916,0,61,2,0,59,4
36,7,0.12,0.32786885245901637,0.3225806451612903,0.3252032520325203,0.9523809523809523,0.3225806451612903,0,62,1,0,61,2
37,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
38,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
39,7,0.12,0.6612903225806451,0.5,0.5528455284552846,0.9841269841269841,0.5,0,61,2,0,62,1
40,7,0.12,0.5444444444444444,0.5499058380414312,0.5471521942110177,0.9523809523809523,0.5499058380414312,1,59,3,0,60,3
41,7,0.12,0.5444444444444444,0.5499058380414312,0.5471521942110177,0.9523809523809523,0.5499058380414312,1,59,3,0,60,3
42,7,0.12,0.4388888888888889,0.6557377049180327,0.4917355371900826,0.9523809523809523,0.6557377049180327,1,61,1,0,60,3
43,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
44,7,0.12,0.30687830687830686,0.3333333333333333,0.31955922865013775,0.9206349206349206,0.3333333333333333,5,58,0,0,63,0
45,7,0.12,0.30687830687830686,0.3333333333333333,0.31955922865013775,0.9206349206349206,0.3333333333333333,5,58,0,0,63,0
46,7,0.12,0.30687830687830686,0.3333333333333333,0.31955922865013775,0.9206349206349206,0.3333333333333333,5,58,0,0,63,0
47,7,0.12,0.3333333333333333,0.31746031746031744,0.3252032520325203,0.9523809523809523,0.31746031746031744,0,63,0,3,60,0
48,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
49,7,0.12,0.31746031746031744,0.3333333333333333,0.3252032520325203,0.9523809523809523,0.3333333333333333,0,60,3,0,63,0
50,7,0.12,0.5388888888888889,0.46091954022988507,0.48870056497175146,0.9365079365079365,0.46091954022988507,0,58,5,0,60,3
51,7,0.12,0.4781420765027322,0.3942528735632184,0.41456582633053224,0.9206349206349206,0.3942528735632184,0,58,5,0,61,2
52,7,0.12,0.32275132275132273,0.3333333333333333,0.3279569892473118,0.9682539682539683,0.3333333333333333,0,61,2,0,63,0
53,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
54,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
55,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
56,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
57,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
58,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
59,7,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
60,7,0.12,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,0,62,1,0,63,0
61,7,0.12,0.328042328042328,0.3333333333333333,0.33066666666666666,0.9841269841269841,0.3333333333333333,0,62,1,0,63,0
62,7,0.12,0.3220338983050847,0.3114754098360656,0.31666666666666665,0.9047619047619048,0.3114754098360656,0,61,2,0,59,4
